step,day,hour,timestamp,total_senescence_rate,age_senescence_rate,stress_senescence_rate,developmental_senescence_rate,total_remobilization_rate,nitrogen_remobilization_rate,carbon_remobilization_rate,phosphorus_remobilization_rate,potassium_remobilization_rate,senescence_stage_distribution,senescence_type_distribution,senescence_factors,remobilization_efficiency,recovery_rate,max_recovery,stress_history,cumulative_senescence,daily_senescence,cumulative_remobilization,daily_remobilization,step_count,last_update
11,11,0,2025-10-02 00:30:09.464056,0.09571705623540144,0.028715116870620432,0.04785852811770072,0.01914341124708029,0,0.0,0.0,0.0,0.0,"{'healthy': 0, 'early_senescence': 0, 'active_senescence': 0, 'late_senescence': 0, 'dead': 1}","{'water_stress': 1.0, 'temperature_stress': 1.0, 'light_stress': 1.0}","{'age_factor': 1.0, 'water_stress_factor': 0.9820400570990269, 'nitrogen_stress_factor': 0.0, 'temperature_stress_factor': 0.9199999999999999, 'light_stress_factor': 0.6745399999999999, 'developmental_factor': 1.0}","{'nitrogen': 0.8, 'phosphorus': 0.7, 'potassium': 0.9}",0.01,0.3,"[0.9871511687062043, 0.0, 0.8399999999999999, 0.7722199999999999]",0.0,0.0,0.0,0.0,22,2025-10-02T00:30:09.451571
12,12,0,2025-10-02 00:30:09.641297,0.09600000000000002,0.028800000000000003,0.04800000000000001,0.019200000000000005,0,0.0,0.0,0.0,0.0,"{'healthy': 0, 'early_senescence': 0, 'active_senescence': 0, 'late_senescence': 0, 'dead': 1}","{'water_stress': 1.0, 'temperature_stress': 1.0, 'light_stress': 1.0}","{'age_factor': 1.0, 'water_stress_factor': 0.9820400570990269, 'nitrogen_stress_factor': 0.0, 'temperature_stress_factor': 0.9199999999999999, 'light_stress_factor': 0.6745399999999999, 'developmental_factor': 1.0}","{'nitrogen': 0.8, 'phosphorus': 0.7, 'potassium': 0.9}",0.01,0.3,"[0.9868675059899381, 0.0, 0.93, 0.67824]",0.0,0.0,0.0,0.0,24,2025-10-02T00:30:09.627383
13,13,0,2025-10-02 00:30:09.814853,0.09551282545090584,0.028653847635271748,0.04775641272545292,0.01910256509018117,0,0.0,0.0,0.0,0.0,"{'healthy': 0, 'early_senescence': 0, 'active_senescence': 0, 'late_senescence': 0, 'dead': 1}","{'water_stress': 1.0, 'temperature_stress': 1.0, 'light_stress': 1.0}","{'age_factor': 1.0, 'water_stress_factor': 0.9820400570990269, 'nitrogen_stress_factor': 0.0, 'temperature_stress_factor': 0.9199999999999999, 'light_stress_factor': 0.6745399999999999, 'developmental_factor': 1.0}","{'nitrogen': 0.8, 'phosphorus': 0.7, 'potassium': 0.9}",0.01,0.3,"[0.9865384763527175, 0.0, 0.8300000000000001, 0.8541666666666666]",0.0,0.0,0.0,0.0,26,2025-10-02T00:30:09.800863
14,14,0,2025-10-02 00:30:09.989630,0.10628571428571434,0.0318857142857143,0.05314285714285717,0.02125714285714287,0,0.0,0.0,0.0,0.0,"{'healthy': 0, 'early_senescence': 0, 'active_senescence': 0, 'late_senescence': 0, 'dead': 1}","{'water_stress': 1.0, 'temperature_stress': 1.0, 'light_stress': 1.0}","{'age_factor': 1.0, 'water_stress_factor': 0.9820400570990269, 'nitrogen_stress_factor': 0.0, 'temperature_stress_factor': 0.9199999999999999, 'light_stress_factor': 0.6745399999999999, 'developmental_factor': 1.0}","{'nitrogen': 0.8, 'phosphorus': 0.7, 'potassium': 0.9}",0.01,0.3,"[0.986315333780194, 0.0, 0.9600000000000002, 0.5884266666666667]",0.0,0.0,0.0,0.0,28,2025-10-02T00:30:09.975619
15,15,0,2025-10-02 00:30:10.163255,0.09531808810901538,0.028595426432704612,0.04765904405450769,0.019063617621803076,0,0.0,0.0,0.0,0.0,"{'healthy': 0, 'early_senescence': 0, 'active_senescence': 0, 'late_senescence': 0, 'dead': 1}","{'water_stress': 1.0, 'temperature_stress': 1.0, 'light_stress': 1.0}","{'age_factor': 1.0, 'water_stress_factor': 0.9820400570990269, 'nitrogen_stress_factor': 0.0, 'temperature_stress_factor': 0.9199999999999999, 'light_stress_factor': 0.6745399999999999, 'developmental_factor': 1.0}","{'nitrogen': 0.8, 'phosphorus': 0.7, 'potassium': 0.9}",0.01,0.3,"[0.9859542643270461, 0.0, 0.8399999999999999, 0.80972]",0.0,0.0,0.0,0.0,30,2025-10-02T00:30:10.149263
16,16,0,2025-10-02 00:30:10.339225,0.12,0.036,0.06,0.024,0,0.0,0.0,0.0,0.0,"{'healthy': 0, 'early_senescence': 0, 'active_senescence': 0, 'late_senescence': 0, 'dead': 1}","{'water_stress': 1.0, 'temperature_stress': 1.0, 'light_stress': 1.0}","{'age_factor': 1.0, 'water_stress_factor': 0.9820400570990269, 'nitrogen_stress_factor': 0.0, 'temperature_stress_factor': 0.9199999999999999, 'light_stress_factor': 0.6745399999999999, 'developmental_factor': 1.0}","{'nitrogen': 0.8, 'phosphorus': 0.7, 'potassium': 0.9}",0.01,0.3,"[0.9856549486217611, 0.0, 1.0, 0.8356466666666666]",0.0,0.0,0.0,0.0,32,2025-10-02T00:30:10.325357
17,17,0,2025-10-02 00:30:10.506489,0.09942857142857137,0.02982857142857141,0.04971428571428568,0.019885714285714274,0,0.0,0.0,0.0,0.0,"{'healthy': 0, 'early_senescence': 0, 'active_senescence': 0, 'late_senescence': 0, 'dead': 1}","{'water_stress': 1.0, 'temperature_stress': 1.0, 'light_stress': 1.0}","{'age_factor': 1.0, 'water_stress_factor': 0.9820400570990269, 'nitrogen_stress_factor': 0.0, 'temperature_stress_factor': 0.9199999999999999, 'light_stress_factor': 0.6745399999999999, 'developmental_factor': 1.0}","{'nitrogen': 0.8, 'phosphorus': 0.7, 'potassium': 0.9}",0.01,0.3,"[0.9853250754041636, 0.0, 0.9399999999999998, 0.7907399999999999]",0.0,0.0,0.0,0.0,34,2025-10-02T00:30:10.493608
18,18,0,2025-10-02 00:30:10.683615,0.09499986404414545,0.028499959213243636,0.04749993202207273,0.01899997280882909,0,0.0,0.0,0.0,0.0,"{'healthy': 0, 'early_senescence': 0, 'active_senescence': 0, 'late_senescence': 0, 'dead': 1}","{'water_stress': 1.0, 'temperature_stress': 1.0, 'light_stress': 1.0}","{'age_factor': 1.0, 'water_stress_factor': 0.9820400570990269, 'nitrogen_stress_factor': 0.0, 'temperature_stress_factor': 0.9199999999999999, 'light_stress_factor': 0.6745399999999999, 'developmental_factor': 1.0}","{'nitrogen': 0.8, 'phosphorus': 0.7, 'potassium': 0.9}",0.01,0.3,"[0.9849995921324364, 0.0, 0.8800000000000001, 0.8018533333333333]",0.0,0.0,0.0,0.0,36,2025-10-02T00:30:10.669603
19,19,0,2025-10-02 00:30:10.853472,0.12,0.036,0.06,0.024,0,0.0,0.0,0.0,0.0,"{'healthy': 0, 'early_senescence': 0, 'active_senescence': 0, 'late_senescence': 0, 'dead': 1}","{'water_stress': 1.0, 'temperature_stress': 1.0, 'light_stress': 1.0}","{'age_factor': 1.0, 'water_stress_factor': 0.9820400570990269, 'nitrogen_stress_factor': 0.0, 'temperature_stress_factor': 0.9199999999999999, 'light_stress_factor': 0.6745399999999999, 'developmental_factor': 1.0}","{'nitrogen': 0.8, 'phosphorus': 0.7, 'potassium': 0.9}",0.01,0.3,"[0.9846881809528858, 0.0, 1.0, 0.8205]",0.0,0.0,0.0,0.0,38,2025-10-02T00:30:10.839485
20,20,0,2025-10-02 00:30:11.028678,0.12,0.036,0.06,0.024,0,0.0,0.0,0.0,0.0,"{'healthy': 0, 'early_senescence': 0, 'active_senescence': 0, 'late_senescence': 0, 'dead': 1}","{'water_stress': 1.0, 'temperature_stress': 1.0, 'light_stress': 1.0}","{'age_factor': 1.0, 'water_stress_factor': 0.9820400570990269, 'nitrogen_stress_factor': 0.0, 'temperature_stress_factor': 0.9199999999999999, 'light_stress_factor': 0.6745399999999999, 'developmental_factor': 1.0}","{'nitrogen': 0.8, 'phosphorus': 0.7, 'potassium': 0.9}",0.01,0.3,"[0.9843688423835647, 0.0, 1.0, 0.7831]",0.0,0.0,0.0,0.0,40,2025-10-02T00:30:11.014677
21,21,0,2025-10-02 00:30:11.204822,0.12,0.036,0.06,0.024,0,0.0,0.0,0.0,0.0,"{'healthy': 0, 'early_senescence': 0, 'active_senescence': 0, 'late_senescence': 0, 'dead': 1}","{'water_stress': 1.0, 'temperature_stress': 1.0, 'light_stress': 1.0}","{'age_factor': 1.0, 'water_stress_factor': 0.9820400570990269, 'nitrogen_stress_factor': 0.0, 'temperature_stress_factor': 0.9199999999999999, 'light_stress_factor': 0.6745399999999999, 'developmental_factor': 1.0}","{'nitrogen': 0.8, 'phosphorus': 0.7, 'potassium': 0.9}",0.01,0.3,"[0.9840371824088144, 0.0, 1.0, 0.78704]",0.0,0.0,0.0,0.0,42,2025-10-02T00:30:11.191498
22,22,0,2025-10-02 00:30:11.380117,0.09600000000000002,0.028800000000000003,0.04800000000000001,0.019200000000000005,0,0.0,0.0,0.0,0.0,"{'healthy': 0, 'early_senescence': 0, 'active_senescence': 0, 'late_senescence': 0, 'dead': 1}","{'water_stress': 1.0, 'temperature_stress': 1.0, 'light_stress': 1.0}","{'age_factor': 1.0, 'water_stress_factor': 0.9820400570990269, 'nitrogen_stress_factor': 0.0, 'temperature_stress_factor': 0.9199999999999999, 'light_stress_factor': 0.6745399999999999, 'developmental_factor': 1.0}","{'nitrogen': 0.8, 'phosphorus': 0.7, 'potassium': 0.9}",0.01,0.3,"[0.9837172777211317, 0.0, 0.93, 0.67824]",0.0,0.0,0.0,0.0,44,2025-10-02T00:30:11.367306
23,23,0,2025-10-02 00:30:11.561506,0.12,0.036,0.06,0.024,0,0.0,0.0,0.0,0.0,"{'healthy': 0, 'early_senescence': 0, 'active_senescence': 0, 'late_senescence': 0, 'dead': 1}","{'water_stress': 1.0, 'temperature_stress': 1.0, 'light_stress': 1.0}","{'age_factor': 1.0, 'water_stress_factor': 0.9820400570990269, 'nitrogen_stress_factor': 0.0, 'temperature_stress_factor': 0.9199999999999999, 'light_stress_factor': 0.6745399999999999, 'developmental_factor': 1.0}","{'nitrogen': 0.8, 'phosphorus': 0.7, 'potassium': 0.9}",0.01,0.3,"[0.9832876094813168, 0.0, 1.0, 0.7638866666666666]",0.0,0.0,0.0,0.0,46,2025-10-02T00:30:11.547600
24,24,0,2025-10-02 00:30:11.737006,0.12,0.036,0.06,0.024,0,0.0,0.0,0.0,0.0,"{'healthy': 0, 'early_senescence': 0, 'active_senescence': 0, 'late_senescence': 0, 'dead': 1}","{'water_stress': 1.0, 'temperature_stress': 1.0, 'light_stress': 1.0}","{'age_factor': 1.0, 'water_stress_factor': 0.9820400570990269, 'nitrogen_stress_factor': 0.0, 'temperature_stress_factor': 0.9199999999999999, 'light_stress_factor': 0.6745399999999999, 'developmental_factor': 1.0}","{'nitrogen': 0.8, 'phosphorus': 0.7, 'potassium': 0.9}",0.01,0.3,"[0.9829641772416914, 0.0, 1.0, 0.75]",0.0,0.0,0.0,0.0,48,2025-10-02T00:30:11.723046
25,25,0,2025-10-02 00:30:11.913958,0.11314285714285717,0.03394285714285715,0.056571428571428585,0.022628571428571435,0,0.0,0.0,0.0,0.0,"{'healthy': 0, 'early_senescence': 0, 'active_senescence': 0, 'late_senescence': 0, 'dead': 1}","{'water_stress': 1.0, 'temperature_stress': 1.0, 'light_stress': 1.0}","{'age_factor': 1.0, 'water_stress_factor': 0.9820400570990269, 'nitrogen_stress_factor': 0.0, 'temperature_stress_factor': 0.9199999999999999, 'light_stress_factor': 0.6745399999999999, 'developmental_factor': 1.0}","{'nitrogen': 0.8, 'phosphorus': 0.7, 'potassium': 0.9}",0.01,0.3,"[0.9826191676922967, 0.0, 0.9800000000000001, 0.7462933333333334]",0.0,0.0,0.0,0.0,50,2025-10-02T00:30:11.899954
26,26,0,2025-10-02 00:30:12.094313,0.12,0.036,0.06,0.024,0,0.0,0.0,0.0,0.0,"{'healthy': 0, 'early_senescence': 0, 'active_senescence': 0, 'late_senescence': 0, 'dead': 1}","{'water_stress': 1.0, 'temperature_stress': 1.0, 'light_stress': 1.0}","{'age_factor': 1.0, 'water_stress_factor': 0.9820400570990269, 'nitrogen_stress_factor': 0.0, 'temperature_stress_factor': 0.9199999999999999, 'light_stress_factor': 0.6745399999999999, 'developmental_factor': 1.0}","{'nitrogen': 0.8, 'phosphorus': 0.7, 'potassium': 0.9}",0.01,0.3,"[0.9823660921481263, 0.0, 1.0, 0.6856466666666667]",0.0,0.0,0.0,0.0,52,2025-10-02T00:30:12.080304
