step,day,hour,water_uptake_rate,transpiration_rate,evapotranspiration,water_availability,root_water_potential,leaf_water_potential,hydraulic_conductance,crop_coefficient,cumulative_water_uptake,daily_water_uptake,cumulative_transpiration,daily_transpiration,step_count,last_update
482,21,1,0.0044,0.0044,0.0726,0.9895,-0.1146,-1.0807,0.3423,0.5109,3.1205,0.0087,3.1196,0.0087,964,2025-10-17T21:54:09.088093
483,21,2,0.0044,0.0044,0.0727,0.9895,-0.1147,-1.0817,0.3427,0.5118,3.1292,0.0174,3.1283,0.0174,966,2025-10-17T21:54:09.108169
484,21,3,0.0044,0.0044,0.0728,0.9895,-0.1147,-1.0826,0.3431,0.5126,3.1380,0.0262,3.1370,0.0262,968,2025-10-17T21:54:09.128005
485,21,4,0.0044,0.0044,0.0729,0.9895,-0.1147,-1.0836,0.3435,0.5134,3.1467,0.0349,3.1458,0.0349,970,2025-10-17T21:54:09.148767
486,21,5,0.0044,0.0044,0.0731,0.9895,-0.1147,-1.0845,0.3439,0.5143,3.1555,0.0437,3.1546,0.0437,972,2025-10-17T21:54:09.170657
487,21,6,0.0044,0.0044,0.0732,0.9895,-0.1148,-1.0854,0.3443,0.5151,3.1643,0.0525,3.1633,0.0524,974,2025-10-17T21:54:09.192724
488,21,7,0.0044,0.0044,0.0733,0.9894,-0.1148,-1.0864,0.3447,0.5159,3.1731,0.0613,3.1721,0.0612,976,2025-10-17T21:54:09.213408
489,21,8,0.0044,0.0044,0.0734,0.9894,-0.1148,-1.0873,0.3451,0.5167,3.1819,0.0701,3.1809,0.0700,978,2025-10-17T21:54:09.234642
490,21,9,0.0044,0.0044,0.0735,0.9894,-0.1148,-1.0882,0.3455,0.5175,3.1907,0.0789,3.1897,0.0788,980,2025-10-17T21:54:09.255417
491,21,10,0.0044,0.0044,0.0736,0.9894,-0.1149,-1.0891,0.3459,0.5183,3.1995,0.0877,3.1986,0.0877,982,2025-10-17T21:54:09.277762
492,21,11,0.0044,0.0044,0.0738,0.9894,-0.1149,-1.0901,0.3463,0.5192,3.2084,0.0966,3.2074,0.0965,984,2025-10-17T21:54:09.298537
493,21,12,0.0044,0.0044,0.0739,0.9894,-0.1149,-1.0910,0.3466,0.5200,3.2172,0.1054,3.2163,0.1054,986,2025-10-17T21:54:09.318590
494,21,13,0.0044,0.0044,0.0740,0.9893,-0.1149,-1.0919,0.3470,0.5208,3.2261,0.1143,3.2251,0.1142,988,2025-10-17T21:54:09.339261
495,21,14,0.0044,0.0044,0.0741,0.9893,-0.1149,-1.0928,0.3474,0.5215,3.2350,0.1232,3.2340,0.1231,990,2025-10-17T21:54:09.361318
496,21,15,0.0045,0.0045,0.0743,0.9893,-0.1150,-1.0943,0.3480,0.5229,3.2439,0.1321,3.2429,0.1320,992,2025-10-17T21:54:09.383745
497,21,16,0.0045,0.0045,0.0745,0.9893,-0.1150,-1.0963,0.3489,0.5247,3.2528,0.1410,3.2519,0.1410,994,2025-10-17T21:54:09.404313
498,21,17,0.0045,0.0045,0.0748,0.9892,-0.1151,-1.0984,0.3497,0.5265,3.2618,0.1500,3.2608,0.1499,996,2025-10-17T21:54:09.424998
499,21,18,0.0045,0.0045,0.0751,0.9892,-0.1151,-1.1005,0.3506,0.5283,3.2708,0.1590,3.2698,0.1589,998,2025-10-17T21:54:09.446259
500,21,19,0.0045,0.0045,0.0753,0.9891,-0.1152,-1.1025,0.3514,0.5301,3.2798,0.1680,3.2788,0.1679,1000,2025-10-17T21:54:09.468338
501,21,20,0.0045,0.0045,0.0756,0.9891,-0.1152,-1.1045,0.3523,0.5319,3.2889,0.1771,3.2879,0.1770,1002,2025-10-17T21:54:09.491175
502,21,21,0.0046,0.0045,0.0758,0.9891,-0.1153,-1.1066,0.3531,0.5337,3.2980,0.1862,3.2970,0.1861,1004,2025-10-17T21:54:09.511733
503,21,22,0.0046,0.0046,0.0761,0.9890,-0.1153,-1.1086,0.3539,0.5354,3.3071,0.1953,3.3061,0.1952,1006,2025-10-17T21:54:09.533566
504,21,23,0.0046,0.0046,0.0763,0.9890,-0.1154,-1.1106,0.3547,0.5372,3.3162,0.2044,3.3152,0.2043,1008,2025-10-17T21:54:09.553777
505,22,0,0.0066,0.0066,0.1108,0.9840,-0.1223,-1.3864,0.3556,0.5390,3.3295,0.0000,3.3285,0.0000,1010,2025-10-17T21:54:09.574843
506,22,1,0.0067,0.0067,0.1112,0.9840,-0.1224,-1.3893,0.3564,0.5407,3.3428,0.0133,3.3418,0.0133,1012,2025-10-17T21:54:09.595362
507,22,2,0.0067,0.0067,0.1115,0.9839,-0.1225,-1.3922,0.3572,0.5425,3.3562,0.0267,3.3552,0.0267,1014,2025-10-17T21:54:09.617050
508,22,3,0.0067,0.0067,0.1119,0.9839,-0.1226,-1.3950,0.3580,0.5442,3.3696,0.0401,3.3686,0.0401,1016,2025-10-17T21:54:09.639034
509,22,4,0.0067,0.0067,0.1122,0.9838,-0.1226,-1.3972,0.3586,0.5456,3.3831,0.0535,3.3820,0.0535,1018,2025-10-17T21:54:09.660623
510,22,5,0.0067,0.0067,0.1124,0.9838,-0.1227,-1.3989,0.3591,0.5465,3.3965,0.0670,3.3955,0.0670,1020,2025-10-17T21:54:09.683780
511,22,6,0.0068,0.0068,0.1126,0.9838,-0.1227,-1.4005,0.3595,0.5475,3.4100,0.0805,3.4090,0.0805,1022,2025-10-17T21:54:09.706172
512,22,7,0.0068,0.0068,0.1128,0.9838,-0.1227,-1.4021,0.3600,0.5485,3.4235,0.0940,3.4225,0.0940,1024,2025-10-17T21:54:09.729287
513,22,8,0.0068,0.0068,0.1130,0.9837,-0.1228,-1.4036,0.3604,0.5494,3.4371,0.1076,3.4360,0.1076,1026,2025-10-17T21:54:09.751852
514,22,9,0.0068,0.0068,0.1132,0.9837,-0.1228,-1.4052,0.3608,0.5504,3.4507,0.1212,3.4496,0.1211,1028,2025-10-17T21:54:09.773670
515,22,10,0.0068,0.0068,0.1133,0.9837,-0.1229,-1.4068,0.3613,0.5514,3.4643,0.1347,3.4632,0.1347,1030,2025-10-17T21:54:09.794018
516,22,11,0.0068,0.0068,0.1135,0.9836,-0.1229,-1.4083,0.3617,0.5523,3.4779,0.1484,3.4768,0.1483,1032,2025-10-17T21:54:09.813851
517,22,12,0.0068,0.0068,0.1137,0.9836,-0.1229,-1.4099,0.3621,0.5532,3.4915,0.1620,3.4905,0.1620,1034,2025-10-17T21:54:09.834665
518,22,13,0.0068,0.0068,0.1139,0.9836,-0.1230,-1.4114,0.3626,0.5542,3.5052,0.1757,3.5041,0.1756,1036,2025-10-17T21:54:09.854651
519,22,14,0.0068,0.0068,0.1141,0.9836,-0.1230,-1.4130,0.3630,0.5551,3.5189,0.1894,3.5178,0.1893,1038,2025-10-17T21:54:09.874483
520,22,15,0.0069,0.0069,0.1143,0.9835,-0.1231,-1.4147,0.3635,0.5562,3.5326,0.2031,3.5315,0.2030,1040,2025-10-17T21:54:09.895080
521,22,16,0.0069,0.0069,0.1145,0.9835,-0.1231,-1.4162,0.3639,0.5571,3.5463,0.2168,3.5452,0.2167,1042,2025-10-17T21:54:09.915870
522,22,17,0.0069,0.0069,0.1147,0.9835,-0.1231,-1.4177,0.3643,0.5580,3.5601,0.2306,3.5590,0.2305,1044,2025-10-17T21:54:09.939825
523,22,18,0.0069,0.0069,0.1149,0.9834,-0.1232,-1.4192,0.3647,0.5589,3.5739,0.2443,3.5728,0.2443,1046,2025-10-17T21:54:09.961639
524,22,19,0.0069,0.0069,0.1151,0.9834,-0.1232,-1.4207,0.3651,0.5598,3.5877,0.2582,3.5866,0.2581,1048,2025-10-17T21:54:09.981848
525,22,20,0.0069,0.0069,0.1153,0.9834,-0.1232,-1.4222,0.3656,0.5607,3.6015,0.2720,3.6004,0.2719,1050,2025-10-17T21:54:10.002458
526,22,21,0.0069,0.0069,0.1155,0.9834,-0.1233,-1.4237,0.3660,0.5616,3.6153,0.2858,3.6142,0.2857,1052,2025-10-17T21:54:10.023026
527,22,22,0.0069,0.0069,0.1156,0.9833,-0.1233,-1.4252,0.3664,0.5625,3.6292,0.2997,3.6281,0.2996,1054,2025-10-17T21:54:10.043675
528,22,23,0.0070,0.0069,0.1158,0.9833,-0.1234,-1.4266,0.3668,0.5634,3.6431,0.3136,3.6420,0.3135,1056,2025-10-17T21:54:10.066250
529,23,0,0.0065,0.0065,0.1076,0.9845,-0.1217,-1.3606,0.3672,0.5643,3.6560,0.0000,3.6549,0.0000,1058,2025-10-17T21:54:10.087082
530,23,1,0.0065,0.0065,0.1077,0.9845,-0.1217,-1.3620,0.3676,0.5652,3.6689,0.0129,3.6678,0.0129,1060,2025-10-17T21:54:10.108866
531,23,2,0.0065,0.0065,0.1079,0.9845,-0.1218,-1.3633,0.3680,0.5661,3.6819,0.0259,3.6807,0.0259,1062,2025-10-17T21:54:10.129385
532,23,3,0.0065,0.0065,0.1081,0.9844,-0.1218,-1.3646,0.3684,0.5670,3.6948,0.0388,3.6937,0.0388,1064,2025-10-17T21:54:10.149901
533,23,4,0.0065,0.0065,0.1082,0.9844,-0.1218,-1.3660,0.3688,0.5679,3.7078,0.0518,3.7067,0.0518,1066,2025-10-17T21:54:10.171108
534,23,5,0.0065,0.0065,0.1084,0.9844,-0.1219,-1.3673,0.3692,0.5687,3.7208,0.0648,3.7197,0.0648,1068,2025-10-17T21:54:10.191058
535,23,6,0.0065,0.0065,0.1086,0.9844,-0.1219,-1.3686,0.3695,0.5696,3.7339,0.0778,3.7327,0.0778,1070,2025-10-17T21:54:10.212215
536,23,7,0.0065,0.0065,0.1087,0.9843,-0.1219,-1.3700,0.3699,0.5705,3.7469,0.0909,3.7457,0.0909,1072,2025-10-17T21:54:10.232646
537,23,8,0.0065,0.0065,0.1089,0.9843,-0.1220,-1.3713,0.3703,0.5713,3.7600,0.1040,3.7588,0.1039,1074,2025-10-17T21:54:10.253052
538,23,9,0.0065,0.0065,0.1091,0.9843,-0.1220,-1.3726,0.3707,0.5722,3.7730,0.1170,3.7719,0.1170,1076,2025-10-17T21:54:10.273495
539,23,10,0.0066,0.0066,0.1092,0.9843,-0.1220,-1.3739,0.3711,0.5730,3.7861,0.1301,3.7850,0.1301,1078,2025-10-17T21:54:10.295861
540,23,11,0.0066,0.0066,0.1094,0.9842,-0.1221,-1.3752,0.3715,0.5739,3.7993,0.1433,3.7981,0.1432,1080,2025-10-17T21:54:10.316489
541,23,12,0.0066,0.0066,0.1096,0.9842,-0.1221,-1.3764,0.3718,0.5747,3.8124,0.1564,3.8112,0.1563,1082,2025-10-17T21:54:10.337134
542,23,13,0.0066,0.0066,0.1097,0.9842,-0.1221,-1.3777,0.3722,0.5755,3.8256,0.1696,3.8244,0.1695,1084,2025-10-17T21:54:10.360588
543,23,14,0.0066,0.0066,0.1099,0.9842,-0.1222,-1.3790,0.3726,0.5764,3.8387,0.1827,3.8376,0.1827,1086,2025-10-17T21:54:10.381825
544,23,15,0.0066,0.0066,0.1100,0.9841,-0.1222,-1.3803,0.3730,0.5772,3.8519,0.1959,3.8508,0.1959,1088,2025-10-17T21:54:10.403439
545,23,16,0.0066,0.0066,0.1102,0.9841,-0.1222,-1.3815,0.3733,0.5780,3.8652,0.2092,3.8640,0.2091,1090,2025-10-17T21:54:10.423931
546,23,17,0.0066,0.0066,0.1103,0.9841,-0.1223,-1.3828,0.3737,0.5789,3.8784,0.2224,3.8772,0.2223,1092,2025-10-17T21:54:10.444450
547,23,18,0.0066,0.0066,0.1105,0.9841,-0.1223,-1.3840,0.3740,0.5797,3.8917,0.2357,3.8905,0.2356,1094,2025-10-17T21:54:10.465003
548,23,19,0.0066,0.0066,0.1107,0.9841,-0.1223,-1.3852,0.3744,0.5805,3.9049,0.2489,3.9037,0.2488,1096,2025-10-17T21:54:10.487669
549,23,20,0.0067,0.0067,0.1110,0.9840,-0.1224,-1.3881,0.3752,0.5824,3.9182,0.2622,3.9170,0.2621,1098,2025-10-17T21:54:10.508450
550,23,21,0.0067,0.0067,0.1114,0.9840,-0.1225,-1.3909,0.3761,0.5842,3.9316,0.2756,3.9304,0.2755,1100,2025-10-17T21:54:10.531147
551,23,22,0.0067,0.0067,0.1117,0.9839,-0.1225,-1.3938,0.3769,0.5861,3.9450,0.2890,3.9438,0.2889,1102,2025-10-17T21:54:10.553273
552,23,23,0.0067,0.0067,0.1121,0.9839,-0.1226,-1.3966,0.3777,0.5879,3.9584,0.3024,3.9572,0.3023,1104,2025-10-17T21:54:10.574578
553,24,0,0.0057,0.0057,0.0957,0.9862,-0.1193,-1.2657,0.3785,0.5897,3.9699,0.0000,3.9687,0.0000,1106,2025-10-17T21:54:10.595468
554,24,1,0.0058,0.0058,0.0960,0.9862,-0.1194,-1.2681,0.3793,0.5916,3.9814,0.0115,3.9802,0.0115,1108,2025-10-17T21:54:10.615952
555,24,2,0.0058,0.0058,0.0963,0.9861,-0.1194,-1.2704,0.3801,0.5934,3.9929,0.0231,3.9917,0.0230,1110,2025-10-17T21:54:10.636634
556,24,3,0.0058,0.0058,0.0966,0.9861,-0.1195,-1.2728,0.3809,0.5952,4.0045,0.0346,4.0033,0.0346,1112,2025-10-17T21:54:10.658994
557,24,4,0.0058,0.0058,0.0969,0.9860,-0.1195,-1.2751,0.3817,0.5970,4.0161,0.0462,4.0149,0.0462,1114,2025-10-17T21:54:10.679627
558,24,5,0.0058,0.0058,0.0972,0.9860,-0.1196,-1.2775,0.3824,0.5988,4.0278,0.0579,4.0265,0.0579,1116,2025-10-17T21:54:10.702477
559,24,6,0.0059,0.0058,0.0975,0.9860,-0.1197,-1.2798,0.3832,0.6006,4.0395,0.0696,4.0382,0.0695,1118,2025-10-17T21:54:10.723151
560,24,7,0.0059,0.0059,0.0978,0.9859,-0.1197,-1.2821,0.3840,0.6023,4.0512,0.0813,4.0499,0.0813,1120,2025-10-17T21:54:10.744959
561,24,8,0.0059,0.0059,0.0980,0.9859,-0.1198,-1.2843,0.3848,0.6041,4.0629,0.0930,4.0617,0.0930,1122,2025-10-17T21:54:10.765373
562,24,9,0.0059,0.0059,0.0983,0.9858,-0.1198,-1.2866,0.3855,0.6058,4.0747,0.1048,4.0734,0.1048,1124,2025-10-17T21:54:10.785810
563,24,10,0.0059,0.0059,0.0985,0.9858,-0.1199,-1.2879,0.3859,0.6068,4.0865,0.1166,4.0853,0.1166,1126,2025-10-17T21:54:10.806465
564,24,11,0.0059,0.0059,0.0986,0.9858,-0.1199,-1.2892,0.3864,0.6078,4.0984,0.1285,4.0971,0.1284,1128,2025-10-17T21:54:10.827015
565,24,12,0.0059,0.0059,0.0988,0.9858,-0.1199,-1.2905,0.3868,0.6088,4.1102,0.1403,4.1089,0.1403,1130,2025-10-17T21:54:10.847607
566,24,13,0.0059,0.0059,0.0990,0.9857,-0.1200,-1.2917,0.3872,0.6098,4.1221,0.1522,4.1208,0.1521,1132,2025-10-17T21:54:10.871179
567,24,14,0.0059,0.0059,0.0991,0.9857,-0.1200,-1.2930,0.3876,0.6107,4.1340,0.1641,4.1327,0.1640,1134,2025-10-17T21:54:10.891453
568,24,15,0.0060,0.0060,0.0993,0.9857,-0.1200,-1.2942,0.3880,0.6117,4.1459,0.1760,4.1446,0.1759,1136,2025-10-17T21:54:10.911885
569,24,16,0.0060,0.0060,0.0994,0.9857,-0.1201,-1.2955,0.3884,0.6127,4.1578,0.1879,4.1565,0.1879,1138,2025-10-17T21:54:10.933602
570,24,17,0.0060,0.0060,0.0996,0.9857,-0.1201,-1.2967,0.3889,0.6136,4.1698,0.1999,4.1684,0.1998,1140,2025-10-17T21:54:10.956498
571,24,18,0.0060,0.0060,0.0997,0.9856,-0.1201,-1.2980,0.3893,0.6146,4.1817,0.2118,4.1804,0.2118,1142,2025-10-17T21:54:10.977053
572,24,19,0.0060,0.0060,0.0999,0.9856,-0.1202,-1.2993,0.3897,0.6156,4.1937,0.2238,4.1924,0.2237,1144,2025-10-17T21:54:10.999092
573,24,20,0.0060,0.0060,0.1001,0.9856,-0.1202,-1.3006,0.3901,0.6166,4.2057,0.2358,4.2044,0.2357,1146,2025-10-17T21:54:11.019386
574,24,21,0.0060,0.0060,0.1002,0.9856,-0.1202,-1.3018,0.3905,0.6175,4.2177,0.2479,4.2164,0.2478,1148,2025-10-17T21:54:11.039930
575,24,22,0.0060,0.0060,0.1004,0.9855,-0.1202,-1.3030,0.3909,0.6184,4.2298,0.2599,4.2284,0.2598,1150,2025-10-17T21:54:11.062977
576,24,23,0.0060,0.0060,0.1005,0.9855,-0.1203,-1.3042,0.3913,0.6194,4.2418,0.2720,4.2405,0.2718,1152,2025-10-17T21:54:11.083739
577,25,0,0.0092,0.0092,0.1535,0.9779,-0.1309,-1.7277,0.3917,0.6203,4.2602,0.0000,4.2589,0.0000,1154,2025-10-17T21:54:11.105142
578,25,1,0.0092,0.0092,0.1537,0.9779,-0.1310,-1.7295,0.3921,0.6212,4.2787,0.0184,4.2773,0.0184,1156,2025-10-17T21:54:11.125781
579,25,2,0.0092,0.0092,0.1539,0.9778,-0.1310,-1.7313,0.3925,0.6221,4.2971,0.0369,4.2958,0.0369,1158,2025-10-17T21:54:11.147827
580,25,3,0.0093,0.0092,0.1541,0.9778,-0.1311,-1.7331,0.3929,0.6230,4.3156,0.0554,4.3143,0.0554,1160,2025-10-17T21:54:11.169919
581,25,4,0.0093,0.0093,0.1544,0.9778,-0.1311,-1.7349,0.3933,0.6239,4.3341,0.0739,4.3328,0.0739,1162,2025-10-17T21:54:11.191927
582,25,5,0.0093,0.0093,0.1546,0.9777,-0.1312,-1.7367,0.3936,0.6248,4.3527,0.0924,4.3513,0.0924,1164,2025-10-17T21:54:11.212087
583,25,6,0.0093,0.0093,0.1548,0.9777,-0.1312,-1.7385,0.3940,0.6257,4.3712,0.1110,4.3699,0.1110,1166,2025-10-17T21:54:11.232841
584,25,7,0.0093,0.0093,0.1550,0.9777,-0.1313,-1.7402,0.3944,0.6266,4.3898,0.1296,4.3885,0.1296,1168,2025-10-17T21:54:11.252679
585,25,8,0.0093,0.0093,0.1552,0.9776,-0.1313,-1.7420,0.3948,0.6275,4.4085,0.1482,4.4071,0.1482,1170,2025-10-17T21:54:11.273327
586,25,9,0.0093,0.0093,0.1555,0.9776,-0.1314,-1.7437,0.3951,0.6284,4.4271,0.1669,4.4257,0.1668,1172,2025-10-17T21:54:11.293907
587,25,10,0.0093,0.0093,0.1557,0.9776,-0.1314,-1.7455,0.3955,0.6293,4.4458,0.1855,4.4444,0.1855,1174,2025-10-17T21:54:11.314455
588,25,11,0.0094,0.0094,0.1559,0.9775,-0.1314,-1.7472,0.3959,0.6301,4.4645,0.2042,4.4631,0.2042,1176,2025-10-17T21:54:11.338158
589,25,12,0.0094,0.0094,0.1561,0.9775,-0.1315,-1.7489,0.3962,0.6310,4.4832,0.2230,4.4818,0.2229,1178,2025-10-17T21:54:11.360941
590,25,13,0.0094,0.0094,0.1563,0.9775,-0.1315,-1.7506,0.3966,0.6319,4.5020,0.2417,4.5006,0.2417,1180,2025-10-17T21:54:11.381621
591,25,14,0.0094,0.0094,0.1565,0.9775,-0.1316,-1.7523,0.3970,0.6327,4.5207,0.2605,4.5193,0.2604,1182,2025-10-17T21:54:11.403614
592,25,15,0.0094,0.0094,0.1568,0.9774,-0.1316,-1.7540,0.3973,0.6336,4.5395,0.2793,4.5381,0.2792,1184,2025-10-17T21:54:11.424112
593,25,16,0.0094,0.0094,0.1570,0.9774,-0.1317,-1.7557,0.3977,0.6344,4.5584,0.2981,4.5569,0.2981,1186,2025-10-17T21:54:11.444832
594,25,17,0.0094,0.0094,0.1572,0.9774,-0.1317,-1.7574,0.3980,0.6353,4.5772,0.3170,4.5758,0.3169,1188,2025-10-17T21:54:11.465613
595,25,18,0.0094,0.0094,0.1574,0.9773,-0.1317,-1.7590,0.3984,0.6361,4.5961,0.3359,4.5947,0.3358,1190,2025-10-17T21:54:11.487662
596,25,19,0.0095,0.0095,0.1576,0.9773,-0.1318,-1.7607,0.3987,0.6370,4.6150,0.3548,4.6136,0.3547,1192,2025-10-17T21:54:11.508313
597,25,20,0.0095,0.0095,0.1578,0.9773,-0.1318,-1.7623,0.3991,0.6378,4.6339,0.3737,4.6325,0.3736,1194,2025-10-17T21:54:11.528358
598,25,21,0.0095,0.0095,0.1580,0.9772,-0.1319,-1.7640,0.3994,0.6386,4.6529,0.3926,4.6514,0.3925,1196,2025-10-17T21:54:11.548745
599,25,22,0.0095,0.0095,0.1582,0.9772,-0.1319,-1.7656,0.3998,0.6394,4.6719,0.4116,4.6704,0.4115,1198,2025-10-17T21:54:11.570831
600,25,23,0.0095,0.0095,0.1585,0.9772,-0.1320,-1.7683,0.4003,0.6408,4.6909,0.4306,4.6894,0.4305,1200,2025-10-17T21:54:11.591505
601,26,0,0.0062,0.0062,0.1036,0.9851,-0.1209,-1.3290,0.4011,0.6427,4.7033,0.0000,4.7018,0.0000,1202,2025-10-17T21:54:11.613712
602,26,1,0.0062,0.0062,0.1039,0.9850,-0.1210,-1.3311,0.4018,0.6443,4.7157,0.0125,4.7143,0.0125,1204,2025-10-17T21:54:11.633592
603,26,2,0.0063,0.0062,0.1042,0.9850,-0.1210,-1.3332,0.4025,0.6460,4.7282,0.0249,4.7268,0.0249,1206,2025-10-17T21:54:11.653377
604,26,3,0.0063,0.0063,0.1044,0.9850,-0.1211,-1.3354,0.4032,0.6476,4.7408,0.0375,4.7393,0.0374,1208,2025-10-17T21:54:11.673591
605,26,4,0.0063,0.0063,0.1047,0.9849,-0.1211,-1.3375,0.4038,0.6493,4.7533,0.0500,4.7518,0.0500,1210,2025-10-17T21:54:11.694801
606,26,5,0.0063,0.0063,0.1049,0.9849,-0.1212,-1.3396,0.4045,0.6509,4.7659,0.0626,4.7644,0.0626,1212,2025-10-17T21:54:11.715246
607,26,6,0.0063,0.0063,0.1052,0.9848,-0.1212,-1.3417,0.4052,0.6525,4.7785,0.0752,4.7770,0.0752,1214,2025-10-17T21:54:11.735835
608,26,7,0.0063,0.0063,0.1055,0.9848,-0.1213,-1.3438,0.4059,0.6541,4.7911,0.0879,4.7896,0.0878,1216,2025-10-17T21:54:11.757816
609,26,8,0.0063,0.0063,0.1057,0.9848,-0.1213,-1.3458,0.4065,0.6558,4.8038,0.1005,4.8023,0.1005,1218,2025-10-17T21:54:11.778262
610,26,9,0.0064,0.0064,0.1060,0.9847,-0.1214,-1.3479,0.4072,0.6574,4.8165,0.1132,4.8150,0.1132,1220,2025-10-17T21:54:11.798763
611,26,10,0.0064,0.0064,0.1062,0.9847,-0.1214,-1.3499,0.4078,0.6589,4.8293,0.1260,4.8278,0.1259,1222,2025-10-17T21:54:11.819003
612,26,11,0.0064,0.0064,0.1065,0.9847,-0.1215,-1.3520,0.4085,0.6605,4.8420,0.1388,4.8405,0.1387,1224,2025-10-17T21:54:11.839105
613,26,12,0.0064,0.0064,0.1068,0.9846,-0.1215,-1.3540,0.4091,0.6621,4.8548,0.1516,4.8533,0.1515,1226,2025-10-17T21:54:11.858946
614,26,13,0.0064,0.0064,0.1070,0.9846,-0.1216,-1.3561,0.4097,0.6637,4.8677,0.1644,4.8661,0.1643,1228,2025-10-17T21:54:11.878979
615,26,14,0.0064,0.0064,0.1073,0.9845,-0.1216,-1.3581,0.4104,0.6652,4.8805,0.1772,4.8790,0.1772,1230,2025-10-17T21:54:11.899332
616,26,15,0.0065,0.0064,0.1075,0.9845,-0.1217,-1.3597,0.4109,0.6665,4.8934,0.1901,4.8919,0.1901,1232,2025-10-17T21:54:11.919999
617,26,16,0.0065,0.0065,0.1076,0.9845,-0.1217,-1.3608,0.4112,0.6674,4.9063,0.2030,4.9048,0.2030,1234,2025-10-17T21:54:11.940076
618,26,17,0.0065,0.0065,0.1077,0.9845,-0.1217,-1.3619,0.4116,0.6682,4.9193,0.2160,4.9177,0.2159,1236,2025-10-17T21:54:11.960038
619,26,18,0.0065,0.0065,0.1079,0.9845,-0.1218,-1.3630,0.4119,0.6691,4.9322,0.2289,4.9306,0.2288,1238,2025-10-17T21:54:11.979567
620,26,19,0.0065,0.0065,0.1080,0.9844,-0.1218,-1.3642,0.4123,0.6700,4.9452,0.2419,4.9436,0.2418,1240,2025-10-17T21:54:11.999022
621,26,20,0.0065,0.0065,0.1082,0.9844,-0.1218,-1.3653,0.4126,0.6708,4.9581,0.2548,4.9566,0.2547,1242,2025-10-17T21:54:12.018514
622,26,21,0.0065,0.0065,0.1083,0.9844,-0.1218,-1.3664,0.4130,0.6717,4.9711,0.2678,4.9696,0.2677,1244,2025-10-17T21:54:12.038515
623,26,22,0.0065,0.0065,0.1084,0.9844,-0.1219,-1.3675,0.4133,0.6725,4.9841,0.2808,4.9826,0.2807,1246,2025-10-17T21:54:12.059217
624,26,23,0.0065,0.0065,0.1086,0.9844,-0.1219,-1.3686,0.4137,0.6734,4.9972,0.2939,4.9956,0.2938,1248,2025-10-17T21:54:12.078667
625,27,0,0.0075,0.0075,0.1255,0.9819,-0.1253,-1.5038,0.4140,0.6743,5.0122,0.0000,5.0106,0.0000,1250,2025-10-17T21:54:12.099027
626,27,1,0.0075,0.0075,0.1257,0.9819,-0.1253,-1.5053,0.4144,0.6753,5.0273,0.0151,5.0257,0.0151,1252,2025-10-17T21:54:12.119064
627,27,2,0.0076,0.0076,0.1258,0.9819,-0.1254,-1.5067,0.4148,0.6762,5.0424,0.0302,5.0408,0.0302,1254,2025-10-17T21:54:12.139541
628,27,3,0.0076,0.0076,0.1260,0.9818,-0.1254,-1.5081,0.4152,0.6771,5.0575,0.0453,5.0559,0.0453,1256,2025-10-17T21:54:12.161619
629,27,4,0.0076,0.0076,0.1262,0.9818,-0.1254,-1.5095,0.4156,0.6781,5.0726,0.0604,5.0710,0.0604,1258,2025-10-17T21:54:12.182245
630,27,5,0.0076,0.0076,0.1264,0.9818,-0.1255,-1.5108,0.4159,0.6790,5.0878,0.0756,5.0862,0.0756,1260,2025-10-17T21:54:12.202853
631,27,6,0.0076,0.0076,0.1265,0.9818,-0.1255,-1.5122,0.4163,0.6799,5.1030,0.0908,5.1014,0.0907,1262,2025-10-17T21:54:12.224790
632,27,7,0.0076,0.0076,0.1267,0.9818,-0.1255,-1.5135,0.4166,0.6808,5.1182,0.1060,5.1165,0.1059,1264,2025-10-17T21:54:12.245032
633,27,8,0.0076,0.0076,0.1269,0.9817,-0.1256,-1.5149,0.4170,0.6817,5.1334,0.1212,5.1318,0.1211,1266,2025-10-17T21:54:12.265054
634,27,9,0.0076,0.0076,0.1270,0.9817,-0.1256,-1.5162,0.4174,0.6826,5.1486,0.1364,5.1470,0.1364,1268,2025-10-17T21:54:12.284763
635,27,10,0.0076,0.0076,0.1272,0.9817,-0.1257,-1.5175,0.4177,0.6835,5.1639,0.1517,5.1622,0.1516,1270,2025-10-17T21:54:12.303853
636,27,11,0.0076,0.0076,0.1274,0.9817,-0.1257,-1.5188,0.4181,0.6844,5.1792,0.1670,5.1775,0.1669,1272,2025-10-17T21:54:12.322840
637,27,12,0.0077,0.0077,0.1275,0.9816,-0.1257,-1.5201,0.4184,0.6852,5.1945,0.1822,5.1928,0.1822,1274,2025-10-17T21:54:12.341812
638,27,13,0.0077,0.0077,0.1277,0.9816,-0.1257,-1.5214,0.4188,0.6861,5.2098,0.1976,5.2081,0.1975,1276,2025-10-17T21:54:12.360508
639,27,14,0.0077,0.0077,0.1278,0.9816,-0.1258,-1.5227,0.4191,0.6870,5.2251,0.2129,5.2235,0.2128,1278,2025-10-17T21:54:12.379458
640,27,15,0.0077,0.0077,0.1280,0.9816,-0.1258,-1.5240,0.4195,0.6879,5.2405,0.2283,5.2388,0.2282,1280,2025-10-17T21:54:12.398404
