step,day,hour,lai,leaf_area,canopy_height,canopy_width,ground_coverage,light_extinction_coefficient,sunlit_leaf_fraction,shaded_leaf_fraction,light_interception_efficiency,temperature_gradient,humidity_gradient,wind_speed_reduction,cumulative_light_interception,daily_light_interception,step_count,last_update
154,7,9,0.7854,0.0942,0.0638,0.2898,0.3758,0.7990,0.9238,0.0762,0.3982,0.3142,0.0000,0.1571,110.5577,6.3434,308,2025-10-17T21:51:33.216880
155,7,10,0.7891,0.0947,0.0638,0.2905,0.3772,0.7990,0.9235,0.0765,0.3996,0.3157,0.0000,0.1578,111.2719,7.0575,310,2025-10-17T21:51:33.235621
156,7,11,0.7929,0.0951,0.0639,0.2912,0.3786,0.7990,0.9228,0.0772,0.4009,0.3172,0.0000,0.1586,111.9885,7.7741,312,2025-10-17T21:51:33.254140
157,7,12,0.7966,0.0956,0.0639,0.2919,0.3800,0.7990,0.9228,0.0772,0.4023,0.3186,0.0000,0.1593,112.7075,8.4931,314,2025-10-17T21:51:33.272615
158,7,13,0.8003,0.0960,0.0641,0.2926,0.3813,0.7990,0.9224,0.0776,0.4036,0.3201,0.0000,0.1601,113.4289,9.2145,316,2025-10-17T21:51:33.291362
159,7,14,0.8040,0.0965,0.0642,0.2932,0.3827,0.7990,0.9221,0.0779,0.4049,0.3216,0.0000,0.1608,114.1527,9.9383,318,2025-10-17T21:51:33.309905
160,7,15,0.8077,0.0969,0.0644,0.2939,0.3841,0.7990,0.9218,0.0782,0.4063,0.3231,0.0000,0.1615,114.8788,10.6645,320,2025-10-17T21:51:33.328490
161,7,16,0.8113,0.0974,0.0645,0.2946,0.3854,0.7990,0.9214,0.0786,0.4076,0.3245,0.0000,0.1623,115.6073,11.3930,322,2025-10-17T21:51:33.346683
162,7,17,0.8150,0.0978,0.0647,0.2952,0.3868,0.7990,0.9211,0.0789,0.4089,0.3260,0.0000,0.1630,116.3382,12.1238,324,2025-10-17T21:51:33.366165
163,7,18,0.8186,0.0982,0.0648,0.2959,0.3881,0.7990,0.9205,0.0795,0.4101,0.3274,0.0000,0.1637,117.0713,12.8569,326,2025-10-17T21:51:33.384987
164,7,19,0.8222,0.0987,0.0648,0.2965,0.3894,0.7990,0.9204,0.0796,0.4114,0.3289,0.0000,0.1644,117.8067,13.5923,328,2025-10-17T21:51:33.403911
165,7,20,0.8251,0.0990,0.0649,0.2971,0.3905,0.7990,0.9202,0.0798,0.4124,0.3300,0.0000,0.1650,118.5442,14.3298,330,2025-10-17T21:51:33.423261
166,7,21,0.8274,0.0993,0.0650,0.2975,0.3913,0.7990,0.9200,0.0800,0.4132,0.3309,0.0000,0.1655,119.2833,15.0689,332,2025-10-17T21:51:33.441918
167,7,22,0.8296,0.0995,0.0651,0.2979,0.3921,0.7990,0.9195,0.0805,0.4140,0.3318,0.0000,0.1659,120.0238,15.8094,334,2025-10-17T21:51:33.460889
168,7,23,0.8318,0.0998,0.0651,0.2983,0.3929,0.7990,0.9196,0.0804,0.4148,0.3327,0.0000,0.1664,120.7657,16.5513,336,2025-10-17T21:51:33.479899
169,8,0,0.8342,0.1001,0.0652,0.2987,0.3938,0.7990,0.9193,0.0807,0.4156,0.3337,0.0000,0.1668,121.4536,0.0000,338,2025-10-17T21:51:33.498985
170,8,1,0.8367,0.1004,0.0653,0.2991,0.3947,0.7990,0.9191,0.0809,0.4165,0.3347,0.0000,0.1673,122.1429,0.6893,340,2025-10-17T21:51:33.518061
171,8,2,0.8391,0.1007,0.0655,0.2996,0.3956,0.7990,0.9189,0.0811,0.4173,0.3356,0.0000,0.1678,122.8336,1.3800,342,2025-10-17T21:51:33.537632
172,8,3,0.8415,0.1010,0.0656,0.3000,0.3964,0.7990,0.9187,0.0813,0.4182,0.3366,0.0000,0.1683,123.5257,2.0721,344,2025-10-17T21:51:33.556786
173,8,4,0.8439,0.1013,0.0658,0.3004,0.3973,0.7990,0.9185,0.0815,0.4190,0.3376,0.0000,0.1688,124.2192,2.7656,346,2025-10-17T21:51:33.575956
174,8,5,0.8463,0.1016,0.0659,0.3008,0.3982,0.7990,0.9183,0.0817,0.4198,0.3385,0.0000,0.1693,124.9141,3.4604,348,2025-10-17T21:51:33.595149
175,8,6,0.8486,0.1018,0.0660,0.3013,0.3990,0.7990,0.9180,0.0820,0.4206,0.3395,0.0000,0.1697,125.6103,4.1567,350,2025-10-17T21:51:33.614267
176,8,7,0.8510,0.1021,0.0661,0.3017,0.3999,0.7990,0.9178,0.0822,0.4215,0.3404,0.0000,0.1702,126.3079,4.8542,352,2025-10-17T21:51:33.633930
177,8,8,0.8533,0.1024,0.0662,0.3021,0.4007,0.7990,0.9176,0.0824,0.4223,0.3413,0.0000,0.1707,127.0068,5.5532,354,2025-10-17T21:51:33.654183
178,8,9,0.8557,0.1027,0.0663,0.3025,0.4015,0.7990,0.9174,0.0826,0.4231,0.3423,0.0000,0.1711,127.7070,6.2534,356,2025-10-17T21:51:33.674575
179,8,10,0.8580,0.1030,0.0663,0.3029,0.4024,0.7990,0.9172,0.0828,0.4239,0.3432,0.0000,0.1716,128.4086,6.9550,358,2025-10-17T21:51:33.694919
180,8,11,0.8603,0.1032,0.0664,0.3033,0.4032,0.7990,0.9170,0.0830,0.4247,0.3441,0.0000,0.1721,129.1115,7.6579,360,2025-10-17T21:51:33.715581
181,8,12,0.8626,0.1035,0.0664,0.3037,0.4040,0.7990,0.9168,0.0832,0.4254,0.3450,0.0000,0.1725,129.8157,8.3621,362,2025-10-17T21:51:33.735397
182,8,13,0.8653,0.1038,0.0665,0.3042,0.4050,0.7990,0.9165,0.0835,0.4264,0.3461,0.0000,0.1731,130.5213,9.0677,364,2025-10-17T21:51:33.755007
183,8,14,0.8676,0.1041,0.0667,0.3046,0.4058,0.7990,0.9163,0.0837,0.4271,0.3470,0.0000,0.1735,131.2283,9.7747,366,2025-10-17T21:51:33.775473
184,8,15,0.8698,0.1044,0.0669,0.3050,0.4066,0.7990,0.9161,0.0839,0.4279,0.3479,0.0000,0.1740,131.9366,10.4830,368,2025-10-17T21:51:33.795537
185,8,16,0.8721,0.1047,0.0670,0.3054,0.4074,0.7990,0.9159,0.0841,0.4287,0.3488,0.0000,0.1744,132.6462,11.1926,370,2025-10-17T21:51:33.815205
186,8,17,0.8743,0.1049,0.0671,0.3058,0.4082,0.7990,0.9157,0.0843,0.4294,0.3497,0.0000,0.1749,133.3571,11.9034,372,2025-10-17T21:51:33.834453
187,8,18,0.8766,0.1052,0.0673,0.3062,0.4090,0.7990,0.9155,0.0845,0.4302,0.3506,0.0000,0.1753,134.0692,12.6155,374,2025-10-17T21:51:33.853983
188,8,19,0.8788,0.1055,0.0673,0.3066,0.4098,0.7990,0.9153,0.0847,0.4309,0.3515,0.0000,0.1758,134.7825,13.3289,376,2025-10-17T21:51:33.874156
189,8,20,0.8810,0.1057,0.0674,0.3070,0.4106,0.7990,0.9151,0.0849,0.4317,0.3524,0.0000,0.1762,135.4971,14.0434,378,2025-10-17T21:51:33.893890
190,8,21,0.8832,0.1060,0.0675,0.3073,0.4113,0.7990,0.9149,0.0851,0.4324,0.3533,0.0000,0.1766,136.2129,14.7592,380,2025-10-17T21:51:33.913553
191,8,22,0.8853,0.1062,0.0675,0.3077,0.4121,0.7990,0.9147,0.0853,0.4332,0.3541,0.0000,0.1771,136.9299,15.4763,382,2025-10-17T21:51:33.932937
192,8,23,0.8875,0.1065,0.0676,0.3081,0.4129,0.7990,0.9145,0.0855,0.4339,0.3550,0.0000,0.1775,137.6481,16.1945,384,2025-10-17T21:51:33.952059
193,9,0,0.8894,0.1067,0.0676,0.3084,0.4136,0.7990,0.9143,0.0857,0.4345,0.3558,0.0000,0.1779,138.4907,0.0000,386,2025-10-17T21:51:33.972526
194,9,1,0.8914,0.1070,0.0677,0.3088,0.4142,0.7990,0.9142,0.0858,0.4352,0.3565,0.0000,0.1783,139.3346,0.8439,388,2025-10-17T21:51:33.992771
195,9,2,0.8933,0.1072,0.0679,0.3091,0.4149,0.7990,0.9137,0.0863,0.4358,0.3573,0.0000,0.1787,140.1798,1.6890,390,2025-10-17T21:51:34.012228
196,9,3,0.8952,0.1074,0.0681,0.3094,0.4156,0.7990,0.9138,0.0862,0.4364,0.3581,0.0000,0.1790,141.0261,2.5354,392,2025-10-17T21:51:34.031666
197,9,4,0.8971,0.1076,0.0682,0.3097,0.4162,0.7990,0.9137,0.0863,0.4371,0.3588,0.0000,0.1794,141.8737,3.3830,394,2025-10-17T21:51:34.051485
198,9,5,0.8990,0.1079,0.0683,0.3101,0.4169,0.7990,0.9135,0.0865,0.4377,0.3596,0.0000,0.1798,142.7225,4.2318,396,2025-10-17T21:51:34.070198
199,9,6,0.9008,0.1081,0.0684,0.3104,0.4175,0.7990,0.9133,0.0867,0.4383,0.3603,0.0000,0.1802,143.5726,5.0818,398,2025-10-17T21:51:34.089431
200,9,7,0.9027,0.1083,0.0685,0.3107,0.4182,0.7990,0.9132,0.0868,0.4389,0.3611,0.0000,0.1805,144.4238,5.9331,400,2025-10-17T21:51:34.108632
201,9,8,0.9046,0.1085,0.0685,0.3110,0.4188,0.7990,0.9130,0.0870,0.4396,0.3618,0.0000,0.1809,145.2762,6.7855,402,2025-10-17T21:51:34.128220
202,9,9,0.9064,0.1088,0.0686,0.3114,0.4195,0.7990,0.9128,0.0872,0.4402,0.3626,0.0000,0.1813,146.1298,7.6391,404,2025-10-17T21:51:34.148017
203,9,10,0.9083,0.1090,0.0686,0.3117,0.4201,0.7990,0.9127,0.0873,0.4408,0.3633,0.0000,0.1817,146.9846,8.4939,406,2025-10-17T21:51:34.168597
204,9,11,0.9101,0.1092,0.0687,0.3120,0.4208,0.7990,0.9125,0.0875,0.4414,0.3640,0.0000,0.1820,147.8406,9.3499,408,2025-10-17T21:51:34.188264
205,9,12,0.9119,0.1094,0.0687,0.3123,0.4214,0.7990,0.9123,0.0877,0.4420,0.3648,0.0000,0.1824,148.6977,10.2070,410,2025-10-17T21:51:34.207885
206,9,13,0.9137,0.1096,0.0688,0.3126,0.4220,0.7990,0.9122,0.0878,0.4426,0.3655,0.0000,0.1827,149.5560,11.0653,412,2025-10-17T21:51:34.227188
207,9,14,0.9155,0.1099,0.0690,0.3129,0.4227,0.7990,0.9120,0.0880,0.4432,0.3662,0.0000,0.1831,150.4155,11.9248,414,2025-10-17T21:51:34.246543
208,9,15,0.9173,0.1101,0.0691,0.3132,0.4233,0.7990,0.9118,0.0882,0.4438,0.3669,0.0000,0.1835,151.2761,12.7854,416,2025-10-17T21:51:34.265421
209,9,16,0.9191,0.1103,0.0692,0.3135,0.4239,0.7990,0.9117,0.0883,0.4443,0.3676,0.0000,0.1838,152.1378,13.6471,418,2025-10-17T21:51:34.284232
210,9,17,0.9209,0.1105,0.0693,0.3138,0.4245,0.7990,0.9115,0.0885,0.4449,0.3684,0.0000,0.1842,153.0007,14.5100,420,2025-10-17T21:51:34.303433
211,9,18,0.9227,0.1107,0.0694,0.3141,0.4251,0.7990,0.9114,0.0886,0.4455,0.3691,0.0000,0.1845,153.8647,15.3740,422,2025-10-17T21:51:34.322171
212,9,19,0.9244,0.1109,0.0695,0.3144,0.4257,0.7990,0.9112,0.0888,0.4461,0.3698,0.0000,0.1849,154.7298,16.2391,424,2025-10-17T21:51:34.341477
213,9,20,0.9291,0.1115,0.0696,0.3152,0.4273,0.7990,0.9108,0.0892,0.4476,0.3716,0.0000,0.1858,155.5970,17.1062,426,2025-10-17T21:51:34.360554
214,9,21,0.9337,0.1120,0.0696,0.3160,0.4289,0.7990,0.9104,0.0896,0.4491,0.3735,0.0000,0.1867,156.4670,17.9763,428,2025-10-17T21:51:34.379806
215,9,22,0.9382,0.1126,0.0697,0.3168,0.4305,0.7990,0.9100,0.0900,0.4505,0.3753,0.0000,0.1876,157.3399,18.8492,430,2025-10-17T21:51:34.399235
216,9,23,0.9428,0.1131,0.0697,0.3175,0.4320,0.7990,0.9096,0.0904,0.4520,0.3771,0.0000,0.1886,158.2157,19.7249,432,2025-10-17T21:51:34.418316
217,10,0,0.9476,0.1137,0.0698,0.3184,0.4337,0.7990,0.9091,0.0909,0.4535,0.3790,0.0000,0.1895,159.1626,0.0000,434,2025-10-17T21:51:34.437723
218,10,1,0.9524,0.1143,0.0699,0.3192,0.4353,0.7990,0.9087,0.0913,0.4551,0.3810,0.0000,0.1905,160.1128,0.9502,436,2025-10-17T21:51:34.456760
219,10,2,0.9572,0.1149,0.0701,0.3200,0.4369,0.7990,0.9083,0.0917,0.4566,0.3829,0.0000,0.1914,161.0662,1.9036,438,2025-10-17T21:51:34.475810
220,10,3,0.9620,0.1154,0.0703,0.3208,0.4385,0.7990,0.9078,0.0922,0.4581,0.3848,0.0000,0.1924,162.0227,2.8601,440,2025-10-17T21:51:34.495378
221,10,4,0.9668,0.1160,0.0705,0.3216,0.4401,0.7990,0.9074,0.0926,0.4596,0.3867,0.0000,0.1934,162.9825,3.8198,442,2025-10-17T21:51:34.514588
222,10,5,0.9697,0.1164,0.0706,0.3220,0.4411,0.7990,0.9071,0.0929,0.4605,0.3879,0.0000,0.1939,163.9447,4.7821,444,2025-10-17T21:51:34.533609
223,10,6,0.9726,0.1167,0.0707,0.3225,0.4421,0.7990,0.9069,0.0931,0.4615,0.3890,0.0000,0.1945,164.9088,5.7462,446,2025-10-17T21:51:34.552788
224,10,7,0.9755,0.1171,0.0708,0.3230,0.4431,0.7990,0.9066,0.0934,0.4624,0.3902,0.0000,0.1951,165.8749,6.7123,448,2025-10-17T21:51:34.571631
225,10,8,0.9784,0.1174,0.0709,0.3235,0.4440,0.7990,0.9064,0.0936,0.4633,0.3914,0.0000,0.1957,166.8428,7.6802,450,2025-10-17T21:51:34.590269
226,10,9,0.9813,0.1178,0.0710,0.3240,0.4450,0.7990,0.9061,0.0939,0.4641,0.3925,0.0000,0.1963,167.8126,8.6500,452,2025-10-17T21:51:34.609417
227,10,10,0.9841,0.1181,0.0711,0.3244,0.4459,0.7990,0.9059,0.0941,0.4650,0.3936,0.0000,0.1968,168.7843,9.6217,454,2025-10-17T21:51:34.628500
228,10,11,0.9870,0.1184,0.0712,0.3249,0.4469,0.7990,0.9056,0.0944,0.4659,0.3948,0.0000,0.1974,169.7578,10.5952,456,2025-10-17T21:51:34.647282
229,10,12,0.9898,0.1188,0.0712,0.3254,0.4478,0.7990,0.9054,0.0946,0.4668,0.3959,0.0000,0.1980,170.7332,11.5706,458,2025-10-17T21:51:34.666514
230,10,13,0.9926,0.1191,0.0713,0.3258,0.4487,0.7990,0.9051,0.0949,0.4677,0.3970,0.0000,0.1985,171.7104,12.5477,460,2025-10-17T21:51:34.685166
231,10,14,0.9954,0.1194,0.0715,0.3263,0.4497,0.7990,0.9045,0.0955,0.4685,0.3982,0.0000,0.1991,172.6893,13.5267,462,2025-10-17T21:51:34.704430
232,10,15,0.9982,0.1198,0.0717,0.3267,0.4506,0.7990,0.9046,0.0954,0.4694,0.3993,0.0000,0.1996,173.6701,14.5075,464,2025-10-17T21:51:34.724178
233,10,16,1.0010,0.1201,0.0719,0.3272,0.4515,0.7990,0.9040,0.0960,0.4702,0.4004,0.0000,0.2002,174.6527,15.4901,466,2025-10-17T21:51:34.744351
234,10,17,1.0037,0.1204,0.0720,0.3276,0.4524,0.7990,0.9041,0.0959,0.4711,0.4015,0.0000,0.2007,175.6370,16.4744,468,2025-10-17T21:51:34.763352
235,10,18,1.0065,0.1208,0.0721,0.3281,0.4533,0.7990,0.9039,0.0961,0.4719,0.4026,0.0000,0.2013,176.6231,17.4605,470,2025-10-17T21:51:34.782841
236,10,19,1.0092,0.1211,0.0722,0.3285,0.4542,0.7990,0.9036,0.0964,0.4727,0.4037,0.0000,0.2018,177.6109,18.4483,472,2025-10-17T21:51:34.802022
237,10,20,1.0119,0.1214,0.0723,0.3290,0.4551,0.7990,0.9034,0.0966,0.4736,0.4048,0.0000,0.2024,178.6005,19.4379,474,2025-10-17T21:51:34.821500
238,10,21,1.0146,0.1218,0.0724,0.3294,0.4560,0.7990,0.9032,0.0968,0.4744,0.4058,0.0000,0.2029,179.5918,20.4292,476,2025-10-17T21:51:34.841051
239,10,22,1.0173,0.1221,0.0725,0.3299,0.4569,0.7990,0.9026,0.0974,0.4752,0.4069,0.0000,0.2035,180.5848,21.4222,478,2025-10-17T21:51:34.860460
240,10,23,1.0200,0.1224,0.0725,0.3303,0.4577,0.7990,0.9027,0.0973,0.4760,0.4080,0.0000,0.2040,181.5795,22.4168,480,2025-10-17T21:51:34.879890
241,11,0,1.0226,0.1227,0.0726,0.3307,0.4586,0.7990,0.9024,0.0976,0.4768,0.4090,0.0000,0.2045,182.4496,0.0000,482,2025-10-17T21:51:34.899629
242,11,1,1.0256,0.1231,0.0727,0.3312,0.4596,0.7990,0.9022,0.0978,0.4777,0.4103,0.0000,0.2051,183.3212,0.8717,484,2025-10-17T21:51:34.919939
243,11,2,1.0282,0.1234,0.0728,0.3316,0.4604,0.7990,0.9016,0.0984,0.4785,0.4113,0.0000,0.2056,184.1944,1.7449,486,2025-10-17T21:51:34.940080
244,11,3,1.0308,0.1237,0.0730,0.3320,0.4612,0.7990,0.9017,0.0983,0.4792,0.4123,0.0000,0.2062,185.0691,2.6195,488,2025-10-17T21:51:34.959833
245,11,4,1.0334,0.1240,0.0731,0.3324,0.4621,0.7990,0.9011,0.0989,0.4800,0.4133,0.0000,0.2067,185.9451,3.4955,490,2025-10-17T21:51:34.978697
246,11,5,1.0359,0.1243,0.0732,0.3329,0.4629,0.7990,0.9013,0.0987,0.4808,0.4144,0.0000,0.2072,186.8225,4.3729,492,2025-10-17T21:51:34.998885
247,11,6,1.0385,0.1246,0.0732,0.3333,0.4637,0.7990,0.9010,0.0990,0.4815,0.4154,0.0000,0.2077,187.7013,5.2517,494,2025-10-17T21:51:35.017933
248,11,7,1.0410,0.1249,0.0733,0.3337,0.4645,0.7990,0.9008,0.0992,0.4823,0.4164,0.0000,0.2082,188.5815,6.1319,496,2025-10-17T21:51:35.037013
249,11,8,1.0435,0.1252,0.0734,0.3341,0.4653,0.7990,0.9006,0.0994,0.4830,0.4174,0.0000,0.2087,189.4631,7.0135,498,2025-10-17T21:51:35.056394
250,11,9,1.0460,0.1255,0.0734,0.3345,0.4661,0.7990,0.9004,0.0996,0.4838,0.4184,0.0000,0.2092,190.3460,7.8964,500,2025-10-17T21:51:35.079019
251,11,10,1.0485,0.1258,0.0735,0.3349,0.4669,0.7990,0.9002,0.0998,0.4845,0.4194,0.0000,0.2097,191.2302,8.7806,502,2025-10-17T21:51:35.098947
252,11,11,1.0510,0.1261,0.0735,0.3353,0.4677,0.7990,0.8999,0.1001,0.4852,0.4204,0.0000,0.2102,192.1158,9.6662,504,2025-10-17T21:51:35.118776
253,11,12,1.0535,0.1264,0.0736,0.3357,0.4685,0.7990,0.8993,0.1007,0.4860,0.4214,0.0000,0.2107,193.0027,10.5532,506,2025-10-17T21:51:35.138001
254,11,13,1.0559,0.1267,0.0737,0.3361,0.4693,0.7990,0.8995,0.1005,0.4867,0.4224,0.0000,0.2112,193.8910,11.4414,508,2025-10-17T21:51:35.157496
255,11,14,1.0584,0.1270,0.0738,0.3364,0.4701,0.7990,0.8993,0.1007,0.4874,0.4234,0.0000,0.2117,194.7805,12.3310,510,2025-10-17T21:51:35.176080
256,11,15,1.0608,0.1273,0.0739,0.3368,0.4709,0.7990,0.8991,0.1009,0.4881,0.4243,0.0000,0.2122,195.6714,13.2218,512,2025-10-17T21:51:35.194797
257,11,16,1.0632,0.1276,0.0740,0.3372,0.4716,0.7990,0.8989,0.1011,0.4888,0.4253,0.0000,0.2126,196.5636,14.1140,514,2025-10-17T21:51:35.213385
258,11,17,1.0656,0.1279,0.0741,0.3376,0.4724,0.7990,0.8986,0.1014,0.4895,0.4263,0.0000,0.2131,197.4570,15.0074,516,2025-10-17T21:51:35.232112
259,11,18,1.0680,0.1282,0.0742,0.3380,0.4731,0.7990,0.8984,0.1016,0.4902,0.4272,0.0000,0.2136,198.3517,15.9021,518,2025-10-17T21:51:35.250631
260,11,19,1.0704,0.1285,0.0743,0.3384,0.4739,0.7990,0.8982,0.1018,0.4909,0.4282,0.0000,0.2141,199.2477,16.7981,520,2025-10-17T21:51:35.269640
261,11,20,1.0728,0.1287,0.0743,0.3387,0.4746,0.7990,0.8980,0.1020,0.4916,0.4291,0.0000,0.2146,200.1449,17.6954,522,2025-10-17T21:51:35.288488
262,11,21,1.0752,0.1290,0.0744,0.3391,0.4754,0.7990,0.8978,0.1022,0.4923,0.4301,0.0000,0.2150,201.0434,18.5939,524,2025-10-17T21:51:35.307282
263,11,22,1.0775,0.1293,0.0744,0.3395,0.4761,0.7990,0.8976,0.1024,0.4930,0.4310,0.0000,0.2155,201.9432,19.4936,526,2025-10-17T21:51:35.326193
264,11,23,1.0799,0.1296,0.0745,0.3398,0.4769,0.7990,0.8974,0.1026,0.4936,0.4319,0.0000,0.2160,202.8441,20.3946,528,2025-10-17T21:51:35.345176
265,12,0,1.0823,0.1299,0.0745,0.3402,0.4776,0.7990,0.8968,0.1032,0.4943,0.4329,0.0000,0.2165,203.6366,0.0000,530,2025-10-17T21:51:35.364867
266,12,1,1.0847,0.1302,0.0746,0.3406,0.4784,0.7990,0.8966,0.1034,0.4950,0.4339,0.0000,0.2169,204.4301,0.7935,532,2025-10-17T21:51:35.383472
267,12,2,1.0872,0.1305,0.0747,0.3410,0.4792,0.7990,0.8968,0.1032,0.4957,0.4349,0.0000,0.2174,205.2248,1.5882,534,2025-10-17T21:51:35.402671
268,12,3,1.0896,0.1307,0.0749,0.3414,0.4799,0.7990,0.8965,0.1035,0.4964,0.4358,0.0000,0.2179,206.0205,2.3840,536,2025-10-17T21:51:35.422006
269,12,4,1.0920,0.1310,0.0750,0.3417,0.4806,0.7990,0.8963,0.1037,0.4971,0.4368,0.0000,0.2184,206.8174,3.1808,538,2025-10-17T21:51:35.440953
270,12,5,1.0943,0.1313,0.0751,0.3421,0.4814,0.7990,0.8961,0.1039,0.4978,0.4377,0.0000,0.2189,207.6153,3.9788,540,2025-10-17T21:51:35.459513
271,12,6,1.0967,0.1316,0.0752,0.3425,0.4821,0.7990,0.8959,0.1041,0.4984,0.4387,0.0000,0.2193,208.4144,4.7778,542,2025-10-17T21:51:35.477983
272,12,7,1.1028,0.1323,0.0752,0.3434,0.4840,0.7990,0.8954,0.1046,0.5001,0.4411,0.0000,0.2206,209.2153,5.5787,544,2025-10-17T21:51:35.497087
273,12,8,1.1088,0.1331,0.0753,0.3444,0.4859,0.7990,0.8949,0.1051,0.5018,0.4435,0.0000,0.2218,210.0190,6.3824,546,2025-10-17T21:51:35.515942
274,12,9,1.1148,0.1338,0.0753,0.3453,0.4877,0.7990,0.8943,0.1057,0.5035,0.4459,0.0000,0.2230,210.8254,7.1888,548,2025-10-17T21:51:35.534884
275,12,10,1.1208,0.1345,0.0754,0.3462,0.4896,0.7990,0.8938,0.1062,0.5052,0.4483,0.0000,0.2242,211.6344,7.9979,550,2025-10-17T21:51:35.553946
276,12,11,1.1267,0.1352,0.0754,0.3471,0.4914,0.7990,0.8933,0.1067,0.5068,0.4507,0.0000,0.2253,212.4462,8.8096,552,2025-10-17T21:51:35.573142
277,12,12,1.1326,0.1359,0.0755,0.3480,0.4932,0.7990,0.8928,0.1072,0.5085,0.4530,0.0000,0.2265,213.2605,9.6240,554,2025-10-17T21:51:35.592044
278,12,13,1.1385,0.1366,0.0756,0.3489,0.4950,0.7990,0.8923,0.1077,0.5101,0.4554,0.0000,0.2277,214.0775,10.4409,556,2025-10-17T21:51:35.611072
279,12,14,1.1443,0.1373,0.0757,0.3498,0.4967,0.7990,0.8918,0.1082,0.5117,0.4577,0.0000,0.2289,214.8970,11.2605,558,2025-10-17T21:51:35.630012
280,12,15,1.1502,0.1380,0.0758,0.3507,0.4985,0.7990,0.8913,0.1087,0.5133,0.4601,0.0000,0.2300,215.7191,12.0826,560,2025-10-17T21:51:35.648902
281,12,16,1.1559,0.1387,0.0760,0.3516,0.5002,0.7990,0.8908,0.1092,0.5148,0.4624,0.0000,0.2312,216.5437,12.9072,562,2025-10-17T21:51:35.667884
282,12,17,1.1595,0.1391,0.0761,0.3521,0.5013,0.7990,0.8904,0.1096,0.5158,0.4638,0.0000,0.2319,217.3704,13.7338,564,2025-10-17T21:51:35.686559
283,12,18,1.1630,0.1396,0.0761,0.3527,0.5023,0.7990,0.8901,0.1099,0.5167,0.4652,0.0000,0.2326,218.1985,14.5620,566,2025-10-17T21:51:35.705676
284,12,19,1.1664,0.1400,0.0762,0.3532,0.5033,0.7990,0.8898,0.1102,0.5177,0.4666,0.0000,0.2333,219.0282,15.3916,568,2025-10-17T21:51:35.724450
285,12,20,1.1699,0.1404,0.0763,0.3537,0.5044,0.7990,0.8895,0.1105,0.5186,0.4680,0.0000,0.2340,219.8593,16.2228,570,2025-10-17T21:51:35.743543
286,12,21,1.1734,0.1408,0.0763,0.3543,0.5054,0.7990,0.8892,0.1108,0.5195,0.4693,0.0000,0.2347,220.6920,17.0554,572,2025-10-17T21:51:35.763295
287,12,22,1.1768,0.1412,0.0764,0.3548,0.5064,0.7990,0.8889,0.1111,0.5204,0.4707,0.0000,0.2354,221.5261,17.8895,574,2025-10-17T21:51:35.782129
288,12,23,1.1802,0.1416,0.0764,0.3553,0.5074,0.7990,0.8886,0.1114,0.5213,0.4721,0.0000,0.2360,222.3616,18.7251,576,2025-10-17T21:51:35.801548
289,13,0,1.1834,0.1420,0.0765,0.3558,0.5084,0.7990,0.8879,0.1121,0.5222,0.4734,0.0000,0.2367,223.4157,0.0000,578,2025-10-17T21:51:35.821292
290,13,1,1.1866,0.1424,0.0766,0.3562,0.5093,0.7990,0.8881,0.1119,0.5230,0.4746,0.0000,0.2373,224.4715,1.0558,580,2025-10-17T21:51:35.840685
291,13,2,1.1898,0.1428,0.0767,0.3567,0.5103,0.7990,0.8878,0.1122,0.5239,0.4759,0.0000,0.2380,225.5290,2.1133,582,2025-10-17T21:51:35.859836
292,13,3,1.1930,0.1432,0.0768,0.3572,0.5112,0.7990,0.8875,0.1125,0.5247,0.4772,0.0000,0.2386,226.5881,3.1724,584,2025-10-17T21:51:35.879445
293,13,4,1.1961,0.1435,0.0770,0.3577,0.5121,0.7990,0.8873,0.1127,0.5255,0.4784,0.0000,0.2392,227.6490,4.2333,586,2025-10-17T21:51:35.898897
294,13,5,1.1992,0.1439,0.0771,0.3581,0.5130,0.7990,0.8870,0.1130,0.5263,0.4797,0.0000,0.2398,228.7115,5.2958,588,2025-10-17T21:51:35.918601
295,13,6,1.2024,0.1443,0.0771,0.3586,0.5139,0.7990,0.8863,0.1137,0.5271,0.4809,0.0000,0.2405,229.7757,6.3599,590,2025-10-17T21:51:35.937786
296,13,7,1.2055,0.1447,0.0772,0.3591,0.5148,0.7990,0.8865,0.1135,0.5280,0.4822,0.0000,0.2411,230.8414,7.4257,592,2025-10-17T21:51:35.957697
297,13,8,1.2086,0.1450,0.0773,0.3595,0.5157,0.7990,0.8862,0.1138,0.5288,0.4834,0.0000,0.2417,231.9089,8.4932,594,2025-10-17T21:51:35.977491
298,13,9,1.2116,0.1454,0.0773,0.3600,0.5166,0.7990,0.8859,0.1141,0.5295,0.4847,0.0000,0.2423,232.9779,9.5622,596,2025-10-17T21:51:35.996454
299,13,10,1.2147,0.1458,0.0774,0.3604,0.5175,0.7990,0.8857,0.1143,0.5303,0.4859,0.0000,0.2429,234.0485,10.6328,598,2025-10-17T21:51:36.015777
300,13,11,1.2177,0.1461,0.0774,0.3609,0.5184,0.7990,0.8850,0.1150,0.5311,0.4871,0.0000,0.2435,235.1208,11.7050,600,2025-10-17T21:51:36.035338
