step,day,hour,timestamp,total_respiration_rate,maintenance_respiration,growth_respiration,leaf_respiration,stem_respiration,root_respiration,cumulative_respiration,daily_respiration,temperature_factor,biomass_factor,step_count,last_update
487,21,6,2025-10-15 13:32:44.799816,0.0206,0.0156,0.0050,0.0071,0.0012,0.0072,10.4264,0.2193,0.8827,1.0000,974,2025-10-15T13:32:44.795823
488,21,7,2025-10-15 13:32:44.815674,0.0212,0.0156,0.0055,0.0072,0.0012,0.0072,10.4684,0.2613,0.8827,1.0000,976,2025-10-15T13:32:44.811668
489,21,8,2025-10-15 13:32:44.831510,0.0217,0.0157,0.0060,0.0072,0.0012,0.0073,10.5115,0.3044,0.8827,1.0000,978,2025-10-15T13:32:44.827543
490,21,9,2025-10-15 13:32:44.847444,0.0221,0.0157,0.0064,0.0072,0.0012,0.0073,10.5555,0.3484,0.8827,1.0000,980,2025-10-15T13:32:44.843410
491,21,10,2025-10-15 13:32:44.863254,0.0225,0.0157,0.0067,0.0072,0.0012,0.0073,10.6002,0.3931,0.8827,1.0000,982,2025-10-15T13:32:44.859256
492,21,11,2025-10-15 13:32:44.879153,0.0228,0.0158,0.0070,0.0072,0.0012,0.0073,10.6457,0.4385,0.8827,1.0000,984,2025-10-15T13:32:44.875056
493,21,12,2025-10-15 13:32:44.895056,0.0159,0.0158,0.0001,0.0072,0.0012,0.0073,10.6845,0.4774,0.8827,1.0000,986,2025-10-15T13:32:44.891034
494,21,13,2025-10-15 13:32:44.913531,0.0166,0.0158,0.0008,0.0073,0.0012,0.0073,10.7171,0.5100,0.8827,1.0000,988,2025-10-15T13:32:44.909551
495,21,14,2025-10-15 13:32:44.929190,0.0177,0.0159,0.0018,0.0073,0.0012,0.0074,10.7520,0.5449,0.8827,1.0000,990,2025-10-15T13:32:44.925214
496,21,15,2025-10-15 13:32:44.944913,0.0188,0.0160,0.0028,0.0073,0.0012,0.0074,10.7890,0.5819,0.8827,1.0000,992,2025-10-15T13:32:44.940923
497,21,16,2025-10-15 13:32:44.960709,0.0196,0.0160,0.0036,0.0074,0.0012,0.0074,10.8278,0.6207,0.8827,1.0000,994,2025-10-15T13:32:44.956717
498,21,17,2025-10-15 13:32:44.976581,0.0204,0.0161,0.0043,0.0074,0.0013,0.0075,10.8682,0.6611,0.8827,1.0000,996,2025-10-15T13:32:44.972518
499,21,18,2025-10-15 13:32:44.992470,0.0210,0.0162,0.0049,0.0074,0.0013,0.0075,10.9099,0.7028,0.8827,1.0000,998,2025-10-15T13:32:44.988483
500,21,19,2025-10-15 13:32:45.008333,0.0216,0.0162,0.0054,0.0074,0.0013,0.0075,10.9528,0.7457,0.8827,1.0000,1000,2025-10-15T13:32:45.004338
501,21,20,2025-10-15 13:32:45.023928,0.0221,0.0162,0.0058,0.0074,0.0013,0.0075,10.9966,0.7895,0.8827,1.0000,1002,2025-10-15T13:32:45.019940
502,21,21,2025-10-15 13:32:45.039631,0.0225,0.0163,0.0062,0.0075,0.0013,0.0075,11.0414,0.8343,0.8827,1.0000,1004,2025-10-15T13:32:45.035618
503,21,22,2025-10-15 13:32:45.055400,0.0228,0.0163,0.0066,0.0075,0.0013,0.0075,11.0869,0.8798,0.8827,1.0000,1006,2025-10-15T13:32:45.051362
504,21,23,2025-10-15 13:32:45.071189,0.0232,0.0163,0.0068,0.0075,0.0013,0.0076,11.1330,0.9259,0.8827,1.0000,1008,2025-10-15T13:32:45.067234
505,22,0,2025-10-15 13:32:45.087310,0.0182,0.0181,0.0001,0.0083,0.0014,0.0084,11.1763,0.0000,0.9794,1.0000,1010,2025-10-15T13:32:45.083314
506,22,1,2025-10-15 13:32:45.103262,0.0187,0.0182,0.0006,0.0083,0.0014,0.0084,11.2134,0.0371,0.9794,1.0000,1012,2025-10-15T13:32:45.099275
507,22,2,2025-10-15 13:32:45.119191,0.0194,0.0182,0.0012,0.0084,0.0014,0.0084,11.2519,0.0755,0.9794,1.0000,1014,2025-10-15T13:32:45.115192
508,22,3,2025-10-15 13:32:45.134969,0.0200,0.0183,0.0017,0.0084,0.0014,0.0085,11.2915,0.1152,0.9794,1.0000,1016,2025-10-15T13:32:45.130897
509,22,4,2025-10-15 13:32:45.150893,0.0205,0.0183,0.0022,0.0084,0.0014,0.0085,11.3323,0.1560,0.9794,1.0000,1018,2025-10-15T13:32:45.146884
510,22,5,2025-10-15 13:32:45.166754,0.0210,0.0183,0.0026,0.0084,0.0014,0.0085,11.3740,0.1977,0.9794,1.0000,1020,2025-10-15T13:32:45.162783
511,22,6,2025-10-15 13:32:45.182634,0.0214,0.0184,0.0030,0.0084,0.0014,0.0085,11.4165,0.2402,0.9794,1.0000,1022,2025-10-15T13:32:45.178599
512,22,7,2025-10-15 13:32:45.198696,0.0217,0.0184,0.0033,0.0084,0.0014,0.0085,11.4597,0.2834,0.9794,1.0000,1024,2025-10-15T13:32:45.194650
513,22,8,2025-10-15 13:32:45.215204,0.0220,0.0184,0.0036,0.0084,0.0014,0.0085,11.5036,0.3273,0.9794,1.0000,1026,2025-10-15T13:32:45.211186
514,22,9,2025-10-15 13:32:45.231127,0.0223,0.0184,0.0038,0.0085,0.0014,0.0085,11.5480,0.3717,0.9794,1.0000,1028,2025-10-15T13:32:45.227144
515,22,10,2025-10-15 13:32:45.247101,0.0225,0.0185,0.0040,0.0085,0.0014,0.0086,11.5929,0.4166,0.9794,1.0000,1030,2025-10-15T13:32:45.243076
516,22,11,2025-10-15 13:32:45.263098,0.0227,0.0185,0.0042,0.0085,0.0014,0.0086,11.6382,0.4619,0.9794,1.0000,1032,2025-10-15T13:32:45.259077
517,22,12,2025-10-15 13:32:45.278645,0.0186,0.0185,0.0001,0.0085,0.0014,0.0086,11.6796,0.5032,0.9794,1.0000,1034,2025-10-15T13:32:45.274719
518,22,13,2025-10-15 13:32:45.294666,0.0190,0.0185,0.0005,0.0085,0.0014,0.0086,11.7173,0.5409,0.9794,1.0000,1036,2025-10-15T13:32:45.290589
519,22,14,2025-10-15 13:32:45.310445,0.0197,0.0186,0.0011,0.0085,0.0014,0.0086,11.7563,0.5800,0.9794,1.0000,1038,2025-10-15T13:32:45.306407
520,22,15,2025-10-15 13:32:45.326460,0.0203,0.0186,0.0017,0.0085,0.0015,0.0086,11.7967,0.6204,0.9794,1.0000,1040,2025-10-15T13:32:45.322343
521,22,16,2025-10-15 13:32:45.342525,0.0209,0.0187,0.0022,0.0086,0.0015,0.0087,11.8382,0.6619,0.9794,1.0000,1042,2025-10-15T13:32:45.338481
522,22,17,2025-10-15 13:32:45.358713,0.0214,0.0187,0.0026,0.0086,0.0015,0.0087,11.8807,0.7044,0.9794,1.0000,1044,2025-10-15T13:32:45.354673
523,22,18,2025-10-15 13:32:45.374458,0.0218,0.0188,0.0030,0.0086,0.0015,0.0087,11.9240,0.7477,0.9794,1.0000,1046,2025-10-15T13:32:45.370428
524,22,19,2025-10-15 13:32:45.390307,0.0221,0.0188,0.0033,0.0086,0.0015,0.0087,11.9681,0.7917,0.9794,1.0000,1048,2025-10-15T13:32:45.386303
525,22,20,2025-10-15 13:32:45.405842,0.0224,0.0188,0.0036,0.0086,0.0015,0.0087,12.0128,0.8364,0.9794,1.0000,1050,2025-10-15T13:32:45.401797
526,22,21,2025-10-15 13:32:45.421609,0.0227,0.0188,0.0039,0.0086,0.0015,0.0087,12.0580,0.8817,0.9794,1.0000,1052,2025-10-15T13:32:45.417735
527,22,22,2025-10-15 13:32:45.436951,0.0229,0.0188,0.0041,0.0086,0.0015,0.0087,12.1037,0.9274,0.9794,1.0000,1054,2025-10-15T13:32:45.433161
528,22,23,2025-10-15 13:32:45.452856,0.0231,0.0189,0.0042,0.0086,0.0015,0.0087,12.1498,0.9735,0.9794,1.0000,1056,2025-10-15T13:32:45.448876
529,23,0,2025-10-15 13:32:45.469185,0.0176,0.0175,0.0001,0.0080,0.0014,0.0081,12.1892,0.0000,0.9075,1.0000,1058,2025-10-15T13:32:45.465191
530,23,1,2025-10-15 13:32:45.484939,0.0182,0.0175,0.0006,0.0080,0.0014,0.0081,12.2250,0.0358,0.9075,1.0000,1060,2025-10-15T13:32:45.480918
531,23,2,2025-10-15 13:32:45.500680,0.0191,0.0176,0.0015,0.0081,0.0014,0.0082,12.2628,0.0736,0.9075,1.0000,1062,2025-10-15T13:32:45.496680
532,23,3,2025-10-15 13:32:45.517131,0.0200,0.0177,0.0023,0.0081,0.0014,0.0082,12.3023,0.1131,0.9075,1.0000,1064,2025-10-15T13:32:45.513187
533,23,4,2025-10-15 13:32:45.532841,0.0208,0.0177,0.0030,0.0081,0.0014,0.0082,12.3435,0.1543,0.9075,1.0000,1066,2025-10-15T13:32:45.528831
534,23,5,2025-10-15 13:32:45.548511,0.0214,0.0178,0.0036,0.0082,0.0014,0.0082,12.3860,0.1968,0.9075,1.0000,1068,2025-10-15T13:32:45.544513
535,23,6,2025-10-15 13:32:45.564258,0.0220,0.0178,0.0042,0.0082,0.0014,0.0083,12.4297,0.2405,0.9075,1.0000,1070,2025-10-15T13:32:45.560262
536,23,7,2025-10-15 13:32:45.580026,0.0225,0.0179,0.0046,0.0082,0.0014,0.0083,12.4744,0.2852,0.9075,1.0000,1072,2025-10-15T13:32:45.576002
537,23,8,2025-10-15 13:32:45.595835,0.0229,0.0179,0.0050,0.0082,0.0014,0.0083,12.5199,0.3307,0.9075,1.0000,1074,2025-10-15T13:32:45.591808
538,23,9,2025-10-15 13:32:45.611776,0.0232,0.0179,0.0053,0.0082,0.0014,0.0083,12.5662,0.3770,0.9075,1.0000,1076,2025-10-15T13:32:45.607773
539,23,10,2025-10-15 13:32:45.627522,0.0235,0.0179,0.0056,0.0082,0.0014,0.0083,12.6132,0.4240,0.9075,1.0000,1078,2025-10-15T13:32:45.623557
540,23,11,2025-10-15 13:32:45.643281,0.0238,0.0180,0.0059,0.0082,0.0014,0.0083,12.6607,0.4715,0.9075,1.0000,1080,2025-10-15T13:32:45.639254
541,23,12,2025-10-15 13:32:45.659023,0.0181,0.0180,0.0001,0.0082,0.0014,0.0083,12.7027,0.5135,0.9075,1.0000,1082,2025-10-15T13:32:45.655004
542,23,13,2025-10-15 13:32:45.674979,0.0187,0.0180,0.0007,0.0083,0.0014,0.0084,12.7395,0.5503,0.9075,1.0000,1084,2025-10-15T13:32:45.670973
543,23,14,2025-10-15 13:32:45.690930,0.0196,0.0181,0.0015,0.0083,0.0014,0.0084,12.7783,0.5891,0.9075,1.0000,1086,2025-10-15T13:32:45.686918
544,23,15,2025-10-15 13:32:45.707042,0.0205,0.0182,0.0023,0.0083,0.0014,0.0084,12.8188,0.6296,0.9075,1.0000,1088,2025-10-15T13:32:45.702999
545,23,16,2025-10-15 13:32:45.722964,0.0212,0.0182,0.0030,0.0084,0.0014,0.0084,12.8608,0.6716,0.9075,1.0000,1090,2025-10-15T13:32:45.718968
546,23,17,2025-10-15 13:32:45.738832,0.0218,0.0183,0.0036,0.0084,0.0014,0.0085,12.9042,0.7150,0.9075,1.0000,1092,2025-10-15T13:32:45.734834
547,23,18,2025-10-15 13:32:45.754689,0.0224,0.0183,0.0041,0.0084,0.0014,0.0085,12.9486,0.7594,0.9075,1.0000,1094,2025-10-15T13:32:45.750724
548,23,19,2025-10-15 13:32:45.770420,0.0228,0.0183,0.0045,0.0084,0.0014,0.0085,12.9941,0.8049,0.9075,1.0000,1096,2025-10-15T13:32:45.766390
549,23,20,2025-10-15 13:32:45.786322,0.0232,0.0184,0.0049,0.0084,0.0014,0.0085,13.0403,0.8511,0.9075,1.0000,1098,2025-10-15T13:32:45.782335
550,23,21,2025-10-15 13:32:45.802150,0.0236,0.0184,0.0052,0.0084,0.0014,0.0085,13.0873,0.8981,0.9075,1.0000,1100,2025-10-15T13:32:45.798211
551,23,22,2025-10-15 13:32:45.818948,0.0239,0.0184,0.0055,0.0084,0.0014,0.0085,13.1349,0.9457,0.9075,1.0000,1102,2025-10-15T13:32:45.814917
552,23,23,2025-10-15 13:32:45.834637,0.0241,0.0184,0.0057,0.0085,0.0014,0.0085,13.1831,0.9939,0.9075,1.0000,1104,2025-10-15T13:32:45.830626
553,24,0,2025-10-15 13:32:45.851003,0.0186,0.0185,0.0001,0.0085,0.0014,0.0086,13.2259,0.0000,0.9075,1.0000,1106,2025-10-15T13:32:45.846996
554,24,1,2025-10-15 13:32:45.866634,0.0191,0.0185,0.0006,0.0085,0.0014,0.0086,13.2637,0.0378,0.9075,1.0000,1108,2025-10-15T13:32:45.862631
555,24,2,2025-10-15 13:32:45.882576,0.0201,0.0186,0.0015,0.0085,0.0014,0.0086,13.3033,0.0774,0.9075,1.0000,1110,2025-10-15T13:32:45.878523
556,24,3,2025-10-15 13:32:45.898425,0.0209,0.0186,0.0023,0.0085,0.0015,0.0086,13.3447,0.1188,0.9075,1.0000,1112,2025-10-15T13:32:45.894429
557,24,4,2025-10-15 13:32:45.914039,0.0216,0.0187,0.0029,0.0086,0.0015,0.0087,13.3875,0.1616,0.9075,1.0000,1114,2025-10-15T13:32:45.910095
558,24,5,2025-10-15 13:32:45.929962,0.0222,0.0187,0.0035,0.0086,0.0015,0.0087,13.4317,0.2058,0.9075,1.0000,1116,2025-10-15T13:32:45.925967
559,24,6,2025-10-15 13:32:45.945793,0.0228,0.0188,0.0040,0.0086,0.0015,0.0087,13.4769,0.2510,0.9075,1.0000,1118,2025-10-15T13:32:45.941792
560,24,7,2025-10-15 13:32:45.961717,0.0232,0.0188,0.0044,0.0086,0.0015,0.0087,13.5231,0.2972,0.9075,1.0000,1120,2025-10-15T13:32:45.957728
561,24,8,2025-10-15 13:32:45.977758,0.0236,0.0188,0.0048,0.0086,0.0015,0.0087,13.5702,0.3442,0.9075,1.0000,1122,2025-10-15T13:32:45.973753
562,24,9,2025-10-15 13:32:45.993484,0.0239,0.0189,0.0051,0.0086,0.0015,0.0087,13.6178,0.3919,0.9075,1.0000,1124,2025-10-15T13:32:45.989431
563,24,10,2025-10-15 13:32:46.008953,0.0242,0.0189,0.0053,0.0087,0.0015,0.0088,13.6661,0.4402,0.9075,1.0000,1126,2025-10-15T13:32:46.005166
564,24,11,2025-10-15 13:32:46.024687,0.0244,0.0189,0.0055,0.0087,0.0015,0.0088,13.7149,0.4890,0.9075,1.0000,1128,2025-10-15T13:32:46.020684
565,24,12,2025-10-15 13:32:46.040406,0.0190,0.0189,0.0001,0.0087,0.0015,0.0088,13.7584,0.5325,0.9075,1.0000,1130,2025-10-15T13:32:46.036359
566,24,13,2025-10-15 13:32:46.056110,0.0195,0.0190,0.0006,0.0087,0.0015,0.0088,13.7970,0.5711,0.9075,1.0000,1132,2025-10-15T13:32:46.052144
567,24,14,2025-10-15 13:32:46.071971,0.0204,0.0190,0.0014,0.0087,0.0015,0.0088,13.8374,0.6114,0.9075,1.0000,1134,2025-10-15T13:32:46.067947
568,24,15,2025-10-15 13:32:46.087765,0.0212,0.0191,0.0021,0.0087,0.0015,0.0088,13.8793,0.6534,0.9075,1.0000,1136,2025-10-15T13:32:46.083763
569,24,16,2025-10-15 13:32:46.103575,0.0218,0.0191,0.0027,0.0088,0.0015,0.0089,13.9226,0.6967,0.9075,1.0000,1138,2025-10-15T13:32:46.099610
570,24,17,2025-10-15 13:32:46.119865,0.0224,0.0192,0.0032,0.0088,0.0015,0.0089,13.9670,0.7411,0.9075,1.0000,1140,2025-10-15T13:32:46.115886
571,24,18,2025-10-15 13:32:46.135804,0.0229,0.0192,0.0036,0.0088,0.0015,0.0089,14.0125,0.7866,0.9075,1.0000,1142,2025-10-15T13:32:46.131815
572,24,19,2025-10-15 13:32:46.151616,0.0233,0.0192,0.0040,0.0088,0.0015,0.0089,14.0588,0.8329,0.9075,1.0000,1144,2025-10-15T13:32:46.147565
573,24,20,2025-10-15 13:32:46.167428,0.0236,0.0193,0.0043,0.0088,0.0015,0.0089,14.1058,0.8799,0.9075,1.0000,1146,2025-10-15T13:32:46.163420
574,24,21,2025-10-15 13:32:46.183055,0.0239,0.0193,0.0046,0.0088,0.0015,0.0089,14.1535,0.9276,0.9075,1.0000,1148,2025-10-15T13:32:46.179038
575,24,22,2025-10-15 13:32:46.199052,0.0241,0.0193,0.0048,0.0089,0.0015,0.0089,14.2016,0.9757,0.9075,1.0000,1150,2025-10-15T13:32:46.195076
576,24,23,2025-10-15 13:32:46.214661,0.0243,0.0193,0.0050,0.0089,0.0015,0.0090,14.2502,1.0243,0.9075,1.0000,1152,2025-10-15T13:32:46.210619
577,25,0,2025-10-15 13:32:46.231218,0.0202,0.0202,0.0001,0.0092,0.0016,0.0093,14.2957,0.0000,0.9461,1.0000,1154,2025-10-15T13:32:46.227037
578,25,1,2025-10-15 13:32:46.247292,0.0206,0.0202,0.0005,0.0093,0.0016,0.0094,14.3367,0.0410,0.9461,1.0000,1156,2025-10-15T13:32:46.243326
579,25,2,2025-10-15 13:32:46.262925,0.0213,0.0202,0.0011,0.0093,0.0016,0.0094,14.3789,0.0832,0.9461,1.0000,1158,2025-10-15T13:32:46.258924
580,25,3,2025-10-15 13:32:46.278503,0.0219,0.0203,0.0016,0.0093,0.0016,0.0094,14.4224,0.1267,0.9461,1.0000,1160,2025-10-15T13:32:46.274499
581,25,4,2025-10-15 13:32:46.294253,0.0224,0.0203,0.0021,0.0093,0.0016,0.0094,14.4669,0.1712,0.9461,1.0000,1162,2025-10-15T13:32:46.290255
582,25,5,2025-10-15 13:32:46.309989,0.0228,0.0204,0.0024,0.0093,0.0016,0.0094,14.5123,0.2166,0.9461,1.0000,1164,2025-10-15T13:32:46.305953
583,25,6,2025-10-15 13:32:46.325605,0.0232,0.0204,0.0028,0.0093,0.0016,0.0094,14.5584,0.2627,0.9461,1.0000,1166,2025-10-15T13:32:46.321598
584,25,7,2025-10-15 13:32:46.340947,0.0235,0.0204,0.0031,0.0094,0.0016,0.0095,14.6052,0.3095,0.9461,1.0000,1168,2025-10-15T13:32:46.336975
585,25,8,2025-10-15 13:32:46.356650,0.0237,0.0204,0.0033,0.0094,0.0016,0.0095,14.6525,0.3568,0.9461,1.0000,1170,2025-10-15T13:32:46.352846
586,25,9,2025-10-15 13:32:46.372377,0.0239,0.0204,0.0035,0.0094,0.0016,0.0095,14.7003,0.4046,0.9461,1.0000,1172,2025-10-15T13:32:46.368423
587,25,10,2025-10-15 13:32:46.388166,0.0241,0.0205,0.0037,0.0094,0.0016,0.0095,14.7484,0.4527,0.9461,1.0000,1174,2025-10-15T13:32:46.384183
588,25,11,2025-10-15 13:32:46.404125,0.0243,0.0205,0.0038,0.0094,0.0016,0.0095,14.7969,0.5012,0.9461,1.0000,1176,2025-10-15T13:32:46.399841
589,25,12,2025-10-15 13:32:46.419995,0.0205,0.0205,0.0001,0.0094,0.0016,0.0095,14.8418,0.5461,0.9461,1.0000,1178,2025-10-15T13:32:46.416017
590,25,13,2025-10-15 13:32:46.435531,0.0209,0.0205,0.0004,0.0094,0.0016,0.0095,14.8833,0.5876,0.9461,1.0000,1180,2025-10-15T13:32:46.431557
591,25,14,2025-10-15 13:32:46.451234,0.0215,0.0206,0.0009,0.0094,0.0016,0.0095,14.9260,0.6303,0.9461,1.0000,1182,2025-10-15T13:32:46.447208
592,25,15,2025-10-15 13:32:46.466563,0.0220,0.0206,0.0014,0.0094,0.0016,0.0095,14.9697,0.6740,0.9461,1.0000,1184,2025-10-15T13:32:46.462573
593,25,16,2025-10-15 13:32:46.482180,0.0225,0.0206,0.0018,0.0095,0.0016,0.0096,15.0145,0.7188,0.9461,1.0000,1186,2025-10-15T13:32:46.478199
594,25,17,2025-10-15 13:32:46.497647,0.0229,0.0207,0.0022,0.0095,0.0016,0.0096,15.0600,0.7643,0.9461,1.0000,1188,2025-10-15T13:32:46.493683
595,25,18,2025-10-15 13:32:46.513265,0.0232,0.0207,0.0025,0.0095,0.0016,0.0096,15.1062,0.8105,0.9461,1.0000,1190,2025-10-15T13:32:46.509390
596,25,19,2025-10-15 13:32:46.529083,0.0235,0.0207,0.0027,0.0095,0.0016,0.0096,15.1530,0.8573,0.9461,1.0000,1192,2025-10-15T13:32:46.525127
597,25,20,2025-10-15 13:32:46.544879,0.0237,0.0207,0.0030,0.0095,0.0016,0.0096,15.2002,0.9045,0.9461,1.0000,1194,2025-10-15T13:32:46.540906
598,25,21,2025-10-15 13:32:46.560818,0.0239,0.0207,0.0032,0.0095,0.0016,0.0096,15.2479,0.9522,0.9461,1.0000,1196,2025-10-15T13:32:46.556906
599,25,22,2025-10-15 13:32:46.576563,0.0241,0.0208,0.0033,0.0095,0.0016,0.0096,15.2960,1.0003,0.9461,1.0000,1198,2025-10-15T13:32:46.572559
600,25,23,2025-10-15 13:32:46.592634,0.0242,0.0208,0.0034,0.0095,0.0016,0.0096,15.3444,1.0487,0.9461,1.0000,1200,2025-10-15T13:32:46.588677
601,26,0,2025-10-15 13:32:46.608801,0.0173,0.0172,0.0000,0.0079,0.0013,0.0080,15.3824,0.0000,0.7846,1.0000,1202,2025-10-15T13:32:46.604786
602,26,1,2025-10-15 13:32:46.624580,0.0179,0.0173,0.0007,0.0079,0.0013,0.0080,15.4177,0.0353,0.7846,1.0000,1204,2025-10-15T13:32:46.620760
603,26,2,2025-10-15 13:32:46.640403,0.0191,0.0174,0.0018,0.0080,0.0014,0.0080,15.4553,0.0729,0.7846,1.0000,1206,2025-10-15T13:32:46.636377
604,26,3,2025-10-15 13:32:46.656063,0.0202,0.0174,0.0028,0.0080,0.0014,0.0081,15.4952,0.1128,0.7846,1.0000,1208,2025-10-15T13:32:46.652083
605,26,4,2025-10-15 13:32:46.671660,0.0211,0.0175,0.0036,0.0080,0.0014,0.0081,15.5370,0.1546,0.7846,1.0000,1210,2025-10-15T13:32:46.667678
606,26,5,2025-10-15 13:32:46.687566,0.0219,0.0175,0.0044,0.0080,0.0014,0.0081,15.5804,0.1980,0.7846,1.0000,1212,2025-10-15T13:32:46.683598
607,26,6,2025-10-15 13:32:46.704004,0.0226,0.0176,0.0050,0.0081,0.0014,0.0082,15.6251,0.2428,0.7846,1.0000,1214,2025-10-15T13:32:46.699966
608,26,7,2025-10-15 13:32:46.720011,0.0231,0.0176,0.0055,0.0081,0.0014,0.0082,15.6711,0.2887,0.7846,1.0000,1216,2025-10-15T13:32:46.715982
609,26,8,2025-10-15 13:32:46.735666,0.0236,0.0177,0.0060,0.0081,0.0014,0.0082,15.7181,0.3357,0.7846,1.0000,1218,2025-10-15T13:32:46.731805
610,26,9,2025-10-15 13:32:46.751631,0.0240,0.0177,0.0064,0.0081,0.0014,0.0082,15.7660,0.3836,0.7846,1.0000,1220,2025-10-15T13:32:46.747608
611,26,10,2025-10-15 13:32:46.767314,0.0244,0.0177,0.0067,0.0081,0.0014,0.0082,15.8146,0.4322,0.7846,1.0000,1222,2025-10-15T13:32:46.763351
612,26,11,2025-10-15 13:32:46.782917,0.0247,0.0177,0.0070,0.0081,0.0014,0.0082,15.8638,0.4814,0.7846,1.0000,1224,2025-10-15T13:32:46.778949
613,26,12,2025-10-15 13:32:46.798618,0.0178,0.0177,0.0001,0.0081,0.0014,0.0082,15.9065,0.5241,0.7846,1.0000,1226,2025-10-15T13:32:46.794572
614,26,13,2025-10-15 13:32:46.814356,0.0185,0.0178,0.0007,0.0082,0.0014,0.0082,15.9429,0.5606,0.7846,1.0000,1228,2025-10-15T13:32:46.810394
615,26,14,2025-10-15 13:32:46.830044,0.0196,0.0179,0.0018,0.0082,0.0014,0.0083,15.9816,0.5992,0.7846,1.0000,1230,2025-10-15T13:32:46.826059
616,26,15,2025-10-15 13:32:46.845960,0.0206,0.0179,0.0027,0.0082,0.0014,0.0083,16.0223,0.6399,0.7846,1.0000,1232,2025-10-15T13:32:46.841979
617,26,16,2025-10-15 13:32:46.861801,0.0214,0.0180,0.0034,0.0082,0.0014,0.0083,16.0647,0.6824,0.7846,1.0000,1234,2025-10-15T13:32:46.857790
618,26,17,2025-10-15 13:32:46.877705,0.0221,0.0180,0.0041,0.0083,0.0014,0.0084,16.1087,0.7263,0.7846,1.0000,1236,2025-10-15T13:32:46.873689
619,26,18,2025-10-15 13:32:46.893534,0.0227,0.0181,0.0047,0.0083,0.0014,0.0084,16.1539,0.7715,0.7846,1.0000,1238,2025-10-15T13:32:46.889547
620,26,19,2025-10-15 13:32:46.909430,0.0233,0.0181,0.0052,0.0083,0.0014,0.0084,16.2001,0.8178,0.7846,1.0000,1240,2025-10-15T13:32:46.905466
621,26,20,2025-10-15 13:32:46.925217,0.0237,0.0181,0.0056,0.0083,0.0014,0.0084,16.2473,0.8650,0.7846,1.0000,1242,2025-10-15T13:32:46.921183
622,26,21,2025-10-15 13:32:46.940913,0.0241,0.0182,0.0059,0.0083,0.0014,0.0084,16.2953,0.9130,0.7846,1.0000,1244,2025-10-15T13:32:46.936932
623,26,22,2025-10-15 13:32:46.956622,0.0244,0.0182,0.0062,0.0083,0.0014,0.0084,16.3440,0.9616,0.7846,1.0000,1246,2025-10-15T13:32:46.952630
624,26,23,2025-10-15 13:32:46.972283,0.0247,0.0182,0.0065,0.0083,0.0014,0.0084,16.3933,1.0109,0.7846,1.0000,1248,2025-10-15T13:32:46.968270
625,27,0,2025-10-15 13:32:46.988337,0.0230,0.0229,0.0001,0.0105,0.0018,0.0106,16.4457,0.0000,0.9862,1.0000,1250,2025-10-15T13:32:46.984486
626,27,1,2025-10-15 13:32:47.004678,0.0231,0.0229,0.0002,0.0105,0.0018,0.0106,16.4920,0.0462,0.9862,1.0000,1252,2025-10-15T13:32:47.000710
627,27,2,2025-10-15 13:32:47.020326,0.0232,0.0229,0.0003,0.0105,0.0018,0.0106,16.5383,0.0926,0.9862,1.0000,1254,2025-10-15T13:32:47.016340
628,27,3,2025-10-15 13:32:47.036132,0.0233,0.0229,0.0003,0.0105,0.0018,0.0106,16.5848,0.1391,0.9862,1.0000,1256,2025-10-15T13:32:47.032135
629,27,4,2025-10-15 13:32:47.051841,0.0233,0.0229,0.0004,0.0105,0.0018,0.0106,16.6314,0.1856,0.9862,1.0000,1258,2025-10-15T13:32:47.047810
630,27,5,2025-10-15 13:32:47.067584,0.0233,0.0229,0.0004,0.0105,0.0018,0.0106,16.6780,0.2323,0.9862,1.0000,1260,2025-10-15T13:32:47.063606
631,27,6,2025-10-15 13:32:47.083320,0.0234,0.0229,0.0004,0.0105,0.0018,0.0106,16.7247,0.2790,0.9862,1.0000,1262,2025-10-15T13:32:47.079330
632,27,7,2025-10-15 13:32:47.099240,0.0234,0.0229,0.0005,0.0105,0.0018,0.0106,16.7714,0.3257,0.9862,1.0000,1264,2025-10-15T13:32:47.095251
633,27,8,2025-10-15 13:32:47.114757,0.0234,0.0229,0.0005,0.0105,0.0018,0.0106,16.8182,0.3725,0.9862,1.0000,1266,2025-10-15T13:32:47.110770
634,27,9,2025-10-15 13:32:47.130700,0.0234,0.0229,0.0005,0.0105,0.0018,0.0106,16.8650,0.4192,0.9862,1.0000,1268,2025-10-15T13:32:47.126533
635,27,10,2025-10-15 13:32:47.146488,0.0234,0.0229,0.0005,0.0105,0.0018,0.0106,16.9117,0.4660,0.9862,1.0000,1270,2025-10-15T13:32:47.142523
636,27,11,2025-10-15 13:32:47.162091,0.0234,0.0229,0.0005,0.0105,0.0018,0.0106,16.9585,0.5128,0.9862,1.0000,1272,2025-10-15T13:32:47.158109
637,27,12,2025-10-15 13:32:47.177904,0.0229,0.0229,0.0000,0.0105,0.0018,0.0106,17.0048,0.5591,0.9862,1.0000,1274,2025-10-15T13:32:47.173856
638,27,13,2025-10-15 13:32:47.193579,0.0230,0.0229,0.0000,0.0105,0.0018,0.0106,17.0507,0.6049,0.9862,1.0000,1276,2025-10-15T13:32:47.189572
