step,day,hour,total_nitrogen_uptake,nitrate_uptake,ammonium_uptake,amino_acid_uptake,total_nitrogen_allocation,leaf_nitrogen_allocation,stem_nitrogen_allocation,root_nitrogen_allocation,reproductive_nitrogen_allocation,total_nitrogen_remobilization,nitrogen_use_efficiency,photosynthetic_n_use_efficiency,growth_n_use_efficiency,nitrogen_stress_index,luxury_uptake_factor,nitrogen_pools,nitrogen_concentrations,uptake_rates,allocation_rates,remobilization_rates,cumulative_nitrogen_uptake,daily_nitrogen_uptake,step_count,last_update
406,17,21,1.2019,4.1460,1.1530,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.2019,0.0747,812,2025-10-17T21:54:07.511781
407,17,22,1.2055,4.1585,1.1564,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.2055,0.0782,814,2025-10-17T21:54:07.532345
408,17,23,1.2090,4.1912,1.1654,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.2090,0.0817,816,2025-10-17T21:54:07.553239
409,18,0,1.2124,3.6629,1.2006,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.2124,0.0000,818,2025-10-17T21:54:07.575640
410,18,1,1.2157,3.6532,1.1974,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.2157,0.0032,820,2025-10-17T21:54:07.596515
411,18,2,1.2189,3.6297,1.1896,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.2189,0.0065,822,2025-10-17T21:54:07.616717
412,18,3,1.2221,3.6233,1.1874,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.2221,0.0097,824,2025-10-17T21:54:07.637108
413,18,4,1.2253,3.6178,1.1855,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.2253,0.0129,826,2025-10-17T21:54:07.657598
414,18,5,1.2285,3.5969,1.1786,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.2285,0.0161,828,2025-10-17T21:54:07.678972
415,18,6,1.2317,3.5743,1.1711,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.2317,0.0192,830,2025-10-17T21:54:07.702030
416,18,7,1.2349,3.5953,1.1779,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.2349,0.0224,832,2025-10-17T21:54:07.724541
417,18,8,1.2380,3.5605,1.1664,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.2380,0.0256,834,2025-10-17T21:54:07.746447
418,18,9,1.2412,3.5339,1.1577,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.2412,0.0287,836,2025-10-17T21:54:07.769168
419,18,10,1.2443,3.5616,1.1667,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.2443,0.0319,838,2025-10-17T21:54:07.790429
420,18,11,1.2475,3.5765,1.1715,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.2475,0.0350,840,2025-10-17T21:54:07.811112
421,18,12,1.2506,3.6126,1.1832,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.2506,0.0382,842,2025-10-17T21:54:07.831150
422,18,13,1.2538,3.5999,1.1790,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.2538,0.0414,844,2025-10-17T21:54:07.851599
423,18,14,1.2570,3.5745,1.1706,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.2570,0.0446,846,2025-10-17T21:54:07.872070
424,18,15,1.2602,3.5740,1.1703,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.2602,0.0477,848,2025-10-17T21:54:07.892432
425,18,16,1.2633,3.5593,1.1654,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.2633,0.0509,850,2025-10-17T21:54:07.912456
426,18,17,1.2665,3.5778,1.1714,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.2665,0.0540,852,2025-10-17T21:54:07.933014
427,18,18,1.2697,3.5791,1.1718,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.2697,0.0572,854,2025-10-17T21:54:07.952716
428,18,19,1.2729,3.6419,1.1923,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.2729,0.0604,856,2025-10-17T21:54:07.973360
429,18,20,1.2760,3.5580,1.1647,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.2760,0.0636,858,2025-10-17T21:54:07.993017
430,18,21,1.2792,3.5427,1.1596,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.2792,0.0667,860,2025-10-17T21:54:08.012513
431,18,22,1.2823,3.5471,1.1610,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.2823,0.0699,862,2025-10-17T21:54:08.032099
432,18,23,1.2855,3.5502,1.1619,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.2855,0.0730,864,2025-10-17T21:54:08.052055
433,19,0,1.2887,3.8444,1.0675,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.2887,0.0000,866,2025-10-17T21:54:08.072855
434,19,1,1.2919,3.8442,1.0674,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.2919,0.0033,868,2025-10-17T21:54:08.093886
435,19,2,1.2952,3.8125,1.0586,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.2952,0.0065,870,2025-10-17T21:54:08.114532
436,19,3,1.2985,3.8183,1.0601,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.2985,0.0098,872,2025-10-17T21:54:08.136395
437,19,4,1.3017,3.8345,1.0646,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.3017,0.0130,874,2025-10-17T21:54:08.156935
438,19,5,1.3050,3.8129,1.0585,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.3050,0.0163,876,2025-10-17T21:54:08.177808
439,19,6,1.3082,3.8410,1.0663,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.3082,0.0196,878,2025-10-17T21:54:08.200246
440,19,7,1.3115,3.8060,1.0565,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.3115,0.0228,880,2025-10-17T21:54:08.220491
441,19,8,1.3147,3.8494,1.0685,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.3147,0.0261,882,2025-10-17T21:54:08.241485
442,19,9,1.3180,3.8438,1.0669,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.3180,0.0294,884,2025-10-17T21:54:08.261739
443,19,10,1.3213,3.9166,1.0871,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.3213,0.0327,886,2025-10-17T21:54:08.282276
444,19,11,1.3247,4.0157,1.1145,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.3247,0.0360,888,2025-10-17T21:54:08.303163
445,19,12,1.3281,4.0009,1.1104,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.3281,0.0395,890,2025-10-17T21:54:08.326863
446,19,13,1.3315,3.9684,1.1013,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.3315,0.0428,892,2025-10-17T21:54:08.349256
447,19,14,1.3349,4.0116,1.1132,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.3349,0.0462,894,2025-10-17T21:54:08.369911
448,19,15,1.3383,4.0147,1.1140,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.3383,0.0497,896,2025-10-17T21:54:08.390586
449,19,16,1.3417,4.0206,1.1156,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.3417,0.0531,898,2025-10-17T21:54:08.411354
450,19,17,1.3452,4.0484,1.1233,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.3452,0.0565,900,2025-10-17T21:54:08.433152
451,19,18,1.3486,4.0634,1.1274,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.3486,0.0600,902,2025-10-17T21:54:08.453142
452,19,19,1.3521,3.9916,1.1074,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.3521,0.0634,904,2025-10-17T21:54:08.473874
453,19,20,1.3555,4.0232,1.1161,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.3555,0.0668,906,2025-10-17T21:54:08.494714
454,19,21,1.3589,3.9850,1.1055,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.3589,0.0702,908,2025-10-17T21:54:08.517173
455,19,22,1.3623,3.9953,1.1083,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.3623,0.0736,910,2025-10-17T21:54:08.539422
456,19,23,1.3657,4.0448,1.1219,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.3657,0.0770,912,2025-10-17T21:54:08.560020
457,20,0,1.3692,4.0669,1.1280,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.3692,0.0000,914,2025-10-17T21:54:08.581275
458,20,1,1.3726,4.0994,1.1369,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.3726,0.0035,916,2025-10-17T21:54:08.603062
459,20,2,1.3761,4.0909,1.1345,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.3761,0.0070,918,2025-10-17T21:54:08.623106
460,20,3,1.3796,4.1393,1.1479,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.3796,0.0105,920,2025-10-17T21:54:08.644035
461,20,4,1.3832,4.1447,1.1493,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.3832,0.0140,922,2025-10-17T21:54:08.666558
462,20,5,1.3867,4.1215,1.1428,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.3867,0.0175,924,2025-10-17T21:54:08.687523
463,20,6,1.3902,4.0797,1.1312,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.3902,0.0210,926,2025-10-17T21:54:08.713857
464,20,7,1.3937,4.1036,1.1378,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.3937,0.0245,928,2025-10-17T21:54:08.733489
465,20,8,1.3972,4.1215,1.1427,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.3972,0.0280,930,2025-10-17T21:54:08.753071
466,20,9,1.4006,4.0725,1.1290,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.4006,0.0315,932,2025-10-17T21:54:08.773019
467,20,10,1.4041,4.0642,1.1267,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.4041,0.0349,934,2025-10-17T21:54:08.792650
468,20,11,1.4076,4.0927,1.1345,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.4076,0.0384,936,2025-10-17T21:54:08.812537
469,20,12,1.4111,4.0723,1.1288,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.4111,0.0419,938,2025-10-17T21:54:08.832656
470,20,13,1.4145,4.0165,1.1133,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.4145,0.0453,940,2025-10-17T21:54:08.852231
471,20,14,1.4179,3.9775,1.1024,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.4179,0.0487,942,2025-10-17T21:54:08.871776
472,20,15,1.4213,3.9687,1.0999,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.4213,0.0521,944,2025-10-17T21:54:08.892003
473,20,16,1.4247,3.9643,1.0986,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.4247,0.0555,946,2025-10-17T21:54:08.912337
474,20,17,1.4281,4.0373,1.1188,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.4281,0.0589,948,2025-10-17T21:54:08.932720
475,20,18,1.4315,4.0455,1.1210,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.4315,0.0623,950,2025-10-17T21:54:08.953934
476,20,19,1.4350,4.0594,1.1248,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.4350,0.0658,952,2025-10-17T21:54:08.975858
477,20,20,1.4384,4.0341,1.1178,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.4384,0.0692,954,2025-10-17T21:54:08.997494
478,20,21,1.4419,4.0737,1.1287,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.4419,0.0727,956,2025-10-17T21:54:09.017930
479,20,22,1.4453,4.0618,1.1253,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.4453,0.0762,958,2025-10-17T21:54:09.037876
480,20,23,1.4488,4.0351,1.1179,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.4488,0.0796,960,2025-10-17T21:54:09.058266
481,21,0,1.4521,3.8076,1.0548,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.4521,0.0000,962,2025-10-17T21:54:09.079170
482,21,1,1.4554,3.8231,1.0590,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.4554,0.0032,964,2025-10-17T21:54:09.099178
483,21,2,1.4586,3.8501,1.0665,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.4586,0.0065,966,2025-10-17T21:54:09.119138
484,21,3,1.4619,3.8749,1.0733,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.4619,0.0098,968,2025-10-17T21:54:09.139042
485,21,4,1.4652,3.9206,1.0859,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.4652,0.0131,970,2025-10-17T21:54:09.159773
486,21,5,1.4686,3.9693,1.0993,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.4686,0.0165,972,2025-10-17T21:54:09.182049
487,21,6,1.4720,3.9633,1.0976,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.4720,0.0199,974,2025-10-17T21:54:09.203751
488,21,7,1.4753,3.9670,1.0986,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.4753,0.0232,976,2025-10-17T21:54:09.224227
489,21,8,1.4787,3.9480,1.0933,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.4787,0.0266,978,2025-10-17T21:54:09.245687
490,21,9,1.4821,3.9308,1.0884,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.4821,0.0300,980,2025-10-17T21:54:09.266661
491,21,10,1.4854,3.9410,1.0912,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.4854,0.0333,982,2025-10-17T21:54:09.289127
492,21,11,1.4888,3.9344,1.0893,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.4888,0.0367,984,2025-10-17T21:54:09.309553
493,21,12,1.4921,3.9147,1.0838,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.4921,0.0400,986,2025-10-17T21:54:09.329614
494,21,13,1.4954,3.8970,1.0789,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.4954,0.0433,988,2025-10-17T21:54:09.350549
495,21,14,1.4988,3.9093,1.0822,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.4988,0.0466,990,2025-10-17T21:54:09.372480
496,21,15,1.5020,3.8324,1.0609,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.5020,0.0499,992,2025-10-17T21:54:09.394919
497,21,16,1.5053,3.8618,1.0690,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.5053,0.0532,994,2025-10-17T21:54:09.415401
498,21,17,1.5086,3.8988,1.0792,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.5086,0.0565,996,2025-10-17T21:54:09.436101
499,21,18,1.5120,3.9248,1.0863,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.5120,0.0598,998,2025-10-17T21:54:09.457405
500,21,19,1.5153,3.9391,1.0902,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.5153,0.0632,1000,2025-10-17T21:54:09.479751
501,21,20,1.5187,3.9697,1.0986,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.5187,0.0666,1002,2025-10-17T21:54:09.502304
502,21,21,1.5220,3.9692,1.0984,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.5220,0.0699,1004,2025-10-17T21:54:09.522819
503,21,22,1.5254,3.9504,1.0932,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.5254,0.0733,1006,2025-10-17T21:54:09.544586
504,21,23,1.5288,3.9129,1.0827,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.5288,0.0767,1008,2025-10-17T21:54:09.564875
505,22,0,1.5323,4.3463,1.2026,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.5323,0.0000,1010,2025-10-17T21:54:09.585916
506,22,1,1.5360,4.3363,1.1998,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.5360,0.0037,1012,2025-10-17T21:54:09.606491
507,22,2,1.5396,4.2966,1.1887,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.5396,0.0074,1014,2025-10-17T21:54:09.628545
508,22,3,1.5433,4.3056,1.1911,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.5433,0.0110,1016,2025-10-17T21:54:09.650208
509,22,4,1.5470,4.2563,1.1774,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.5470,0.0147,1018,2025-10-17T21:54:09.671876
510,22,5,1.5505,4.1945,1.1603,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.5505,0.0183,1020,2025-10-17T21:54:09.695025
511,22,6,1.5541,4.1815,1.1566,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.5541,0.0218,1022,2025-10-17T21:54:09.717417
512,22,7,1.5577,4.1988,1.1614,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.5577,0.0254,1024,2025-10-17T21:54:09.740661
513,22,8,1.5613,4.2375,1.1720,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.5613,0.0290,1026,2025-10-17T21:54:09.763173
514,22,9,1.5648,4.1815,1.1564,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.5648,0.0326,1028,2025-10-17T21:54:09.784835
515,22,10,1.5684,4.1665,1.1522,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.5684,0.0361,1030,2025-10-17T21:54:09.804816
516,22,11,1.5720,4.2320,1.1703,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.5720,0.0397,1032,2025-10-17T21:54:09.824858
517,22,12,1.5756,4.2590,1.1777,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.5756,0.0433,1034,2025-10-17T21:54:09.845558
518,22,13,1.5792,4.2392,1.1721,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.5792,0.0469,1036,2025-10-17T21:54:09.865611
519,22,14,1.5828,4.2697,1.1805,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.5828,0.0505,1038,2025-10-17T21:54:09.885532
520,22,15,1.5865,4.2693,1.1804,0.0000,0.0080,0.0050,0.0013,0.0018,0.0000,0.0000,1.0000,1.0000,1.0000,0.5417,1.0000,{},{},{},{},{},1.5865,0.0542,1040,2025-10-17T21:54:09.906212
