step,day,hour,total_leaves,leaf_appearance_rate,leaf_expansion_rate,leaf_senescence_rate,total_leaf_area,total_leaf_weight,leaf_weight_ratio,leaf_nitrogen_content,leaf_nitrogen_ratio,leaf_age_distribution,leaf_size_distribution,leaf_nitrogen_distribution,cumulative_thermal_time,phyllochron_adjusted,leaf_growth_stress,leaf_senescence_stress
456,19,23,6,1.0000,0.1702,0.0000,0.1702,0.0009,1.0000,4.4996,0.4899,{},{},{},607.7206,"PhyllochronParameters(base_phyllochron=80, min_temp=4.5, opt_temp_min=18, opt_temp_max=24, max_temp=35, late_leaf_phyllochron_factor=1.5, very_late_leaf_phyllochron_factor=2)",1.0000,1.0000
480,20,23,6,1.0000,0.1795,0.0000,0.1795,0.0009,1.0000,4.7372,0.4606,{},{},{},639.6776,"PhyllochronParameters(base_phyllochron=80, min_temp=4.5, opt_temp_min=18, opt_temp_max=24, max_temp=35, late_leaf_phyllochron_factor=1.5, very_late_leaf_phyllochron_factor=2)",1.0000,1.0000
504,21,23,7,0.0000,0.1859,0.0000,0.1859,0.0009,1.0000,4.9748,0.4509,{},{},{},673.5043,"PhyllochronParameters(base_phyllochron=80, min_temp=4.5, opt_temp_min=18, opt_temp_max=24, max_temp=35, late_leaf_phyllochron_factor=1.5, very_late_leaf_phyllochron_factor=2)",1.0000,1.0000
528,22,23,7,1.0000,0.1903,0.0000,0.1903,0.0010,1.0000,5.2124,0.4446,{},{},{},705.7882,"PhyllochronParameters(base_phyllochron=80, min_temp=4.5, opt_temp_min=18, opt_temp_max=24, max_temp=35, late_leaf_phyllochron_factor=1.5, very_late_leaf_phyllochron_factor=2)",1.0000,1.0000
552,23,23,7,1.0000,0.2008,0.0000,0.2008,0.0010,1.0000,5.4500,0.4348,{},{},{},736.4908,"PhyllochronParameters(base_phyllochron=80, min_temp=4.5, opt_temp_min=18, opt_temp_max=24, max_temp=35, late_leaf_phyllochron_factor=1.5, very_late_leaf_phyllochron_factor=2)",1.0000,1.0000
576,24,23,7,1.0000,0.2098,0.0000,0.2098,0.0010,1.0000,5.6876,0.4359,{},{},{},766.9432,"PhyllochronParameters(base_phyllochron=80, min_temp=4.5, opt_temp_min=18, opt_temp_max=24, max_temp=35, late_leaf_phyllochron_factor=1.5, very_late_leaf_phyllochron_factor=2)",1.0000,1.0000
600,25,23,8,0.0000,0.2175,0.0000,0.2175,0.0011,1.0000,5.9252,0.4322,{},{},{},797.1106,"PhyllochronParameters(base_phyllochron=80, min_temp=4.5, opt_temp_min=18, opt_temp_max=24, max_temp=35, late_leaf_phyllochron_factor=1.5, very_late_leaf_phyllochron_factor=2)",1.0000,1.0000
624,26,23,8,1.0000,0.2210,0.0000,0.2210,0.0011,1.0000,6.1628,0.4189,{},{},{},830.4882,"PhyllochronParameters(base_phyllochron=80, min_temp=4.5, opt_temp_min=18, opt_temp_max=24, max_temp=35, late_leaf_phyllochron_factor=1.5, very_late_leaf_phyllochron_factor=2)",1.0000,1.0000
648,27,23,8,1.0000,0.2329,0.0000,0.2329,0.0012,1.0000,6.4004,0.4142,{},{},{},862.6250,"PhyllochronParameters(base_phyllochron=80, min_temp=4.5, opt_temp_min=18, opt_temp_max=24, max_temp=35, late_leaf_phyllochron_factor=1.5, very_late_leaf_phyllochron_factor=2)",1.0000,1.0000
672,28,23,8,1.0000,0.2425,0.0000,0.2425,0.0012,1.0000,6.6380,0.4135,{},{},{},894.6096,"PhyllochronParameters(base_phyllochron=80, min_temp=4.5, opt_temp_min=18, opt_temp_max=24, max_temp=35, late_leaf_phyllochron_factor=1.5, very_late_leaf_phyllochron_factor=2)",1.0000,1.0000
696,29,23,9,0.0000,0.2524,0.0000,0.2524,0.0013,1.0000,6.8562,0.4028,{},{},{},929.4677,"PhyllochronParameters(base_phyllochron=80, min_temp=4.5, opt_temp_min=18, opt_temp_max=24, max_temp=35, late_leaf_phyllochron_factor=1.5, very_late_leaf_phyllochron_factor=2)",1.0000,1.0000
720,30,23,9,1.0000,0.2579,0.0000,0.2579,0.0013,1.0000,7.0722,0.3951,{},{},{},963.1190,"PhyllochronParameters(base_phyllochron=80, min_temp=4.5, opt_temp_min=18, opt_temp_max=24, max_temp=35, late_leaf_phyllochron_factor=1.5, very_late_leaf_phyllochron_factor=2)",1.0000,1.0000
744,31,23,9,1.0000,0.2699,0.0000,0.2699,0.0013,1.0000,7.2882,0.3898,{},{},{},994.9124,"PhyllochronParameters(base_phyllochron=80, min_temp=4.5, opt_temp_min=18, opt_temp_max=24, max_temp=35, late_leaf_phyllochron_factor=1.5, very_late_leaf_phyllochron_factor=2)",1.0000,1.0000
768,32,23,9,1.0000,0.2792,0.0000,0.2792,0.0014,1.0000,7.5042,0.3923,{},{},{},1026.2044,"PhyllochronParameters(base_phyllochron=80, min_temp=4.5, opt_temp_min=18, opt_temp_max=24, max_temp=35, late_leaf_phyllochron_factor=1.5, very_late_leaf_phyllochron_factor=2)",1.0000,1.0000
792,33,23,10,0.0000,0.2876,0.0000,0.2876,0.0014,1.0000,7.7202,0.3862,{},{},{},1059.0955,"PhyllochronParameters(base_phyllochron=80, min_temp=4.5, opt_temp_min=18, opt_temp_max=24, max_temp=35, late_leaf_phyllochron_factor=1.5, very_late_leaf_phyllochron_factor=2)",1.0000,1.0000
793,34,0,10,0.0000,0.2876,0.0000,0.2876,0.0014,1.0000,7.7292,0.3867,{},{},{},1060.6747,"PhyllochronParameters(base_phyllochron=80, min_temp=4.5, opt_temp_min=18, opt_temp_max=24, max_temp=35, late_leaf_phyllochron_factor=1.5, very_late_leaf_phyllochron_factor=2)",1.0000,1.0000
