step,day,hour,timestamp,photosynthesis_simulator_net_assimilation_rate,photosynthesis_simulator_gross_photosynthesis_rate,photosynthesis_simulator_respiration_rate,photosynthesis_simulator_light_use_efficiency,photosynthesis_simulator_co2_uptake_rate,photosynthesis_simulator_cumulative_carbon_gained,photosynthesis_simulator_daily_carbon_gained,photosynthesis_simulator_leaf_temperature,photosynthesis_simulator_temperature_stress_factor,photosynthesis_simulator_light_stress_factor,photosynthesis_simulator_step_count,photosynthesis_simulator_last_update,respiration_simulator_total_respiration_rate,respiration_simulator_maintenance_respiration,respiration_simulator_growth_respiration,respiration_simulator_leaf_respiration,respiration_simulator_stem_respiration,respiration_simulator_root_respiration,respiration_simulator_cumulative_respiration,respiration_simulator_daily_respiration,respiration_simulator_temperature_factor,respiration_simulator_biomass_factor,respiration_simulator_step_count,respiration_simulator_last_update,biomass_allocation_simulator_total_biomass,biomass_allocation_simulator_leaf_biomass,biomass_allocation_simulator_stem_biomass,biomass_allocation_simulator_root_biomass,biomass_allocation_simulator_leaf_allocation_fraction,biomass_allocation_simulator_stem_allocation_fraction,biomass_allocation_simulator_root_allocation_fraction,biomass_allocation_simulator_allocation_efficiency,biomass_allocation_simulator_cumulative_biomass_gain,biomass_allocation_simulator_daily_biomass_gain,biomass_allocation_simulator_step_count,biomass_allocation_simulator_last_update
18,1,17,2025-09-29 05:27:09.762801,0.8199102436343892,0.9019012679978282,0.08199102436343893,0.0005463555055570366,0.8199102436343892,106260.36757501679,100357.0138208492,25.2,1.0,1.0,36,2025-09-29T05:27:09.655445,0.0031865784632381677,0.0015005784632381677,0.001686,0.0005001928210793893,0.0004001542568635114,0.000600231385295267,413.7135797067825,390.6236173250503,1.0003856421587782,1.0,36,2025-09-29T05:27:09.697078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,36,2025-09-29T05:27:09.750664
19,1,18,2025-09-29 05:27:09.901250,0.8199102436343892,0.9019012679978282,0.08199102436343893,0.0005463555055570366,0.8199102436343892,112163.72132918438,106260.36757501679,25.2,1.0,1.0,38,2025-09-29T05:27:09.793566,0.00318646853805955,0.00150046853805955,0.001686,0.0005001561793531833,0.00040012494348254667,0.0006001874152238199,436.65634062855474,413.5663782468225,1.0003123587063665,1.0,38,2025-09-29T05:27:09.835667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,38,2025-09-29T05:27:09.889476
20,1,19,2025-09-29 05:27:10.039334,0.8199102436343892,0.9019012679978282,0.08199102436343893,0.0005463555055570366,0.8199102436343892,118067.07508335197,112163.72132918438,25.2,1.0,1.0,40,2025-09-29T05:27:09.931786,0.003186379504567849,0.001500379504567849,0.001686,0.0005001265015226163,0.0004001012012180931,0.0006001518018271396,459.59842488460566,436.50846250287344,1.0002530030452323,1.0,40,2025-09-29T05:27:09.973451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,40,2025-09-29T05:27:10.027745
21,1,20,2025-09-29 05:27:10.174049,0.8199102436343892,0.9019012679978282,0.08199102436343893,0.0005463555055570366,0.8199102436343892,123970.42883751956,118067.07508335197,25.2,1.0,1.0,42,2025-09-29T05:27:10.069230,0.0031863073913122827,0.0015003073913122827,0.001686,0.0005001024637707608,0.0004000819710166087,0.000600122956524913,482.5399610725766,459.4499986908444,1.0002049275415217,1.0,42,2025-09-29T05:27:10.110895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,42,2025-09-29T05:27:10.162568
22,1,21,2025-09-29 05:27:10.311705,0.8199102436343892,0.9019012679978282,0.08199102436343893,0.0005463555055570366,0.8199102436343892,129873.78259168715,123970.42883751956,25.2,1.0,1.0,44,2025-09-29T05:27:10.204825,0.0031862489821160357,0.0015002489821160357,0.001686,0.0005000829940386785,0.00040006639523094284,0.0006000995928464142,505.48105334584204,482.3910909641098,1.0001659880773568,1.0,44,2025-09-29T05:27:10.246016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,44,2025-09-29T05:27:10.300195
23,1,22,2025-09-29 05:27:10.449847,0.8199102436343892,0.9019012679978282,0.08199102436343893,0.0005463555055570366,0.8199102436343892,135777.13634585476,129873.78259168715,25.2,1.0,1.0,46,2025-09-29T05:27:10.341907,0.0031862016723340036,0.0015002016723340036,0.001686,0.0005000672241113345,0.0004000537792890676,0.0006000806689336013,528.4217860616058,505.3318236798734,1.0001344482226688,1.0,46,2025-09-29T05:27:10.383430,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,46,2025-09-29T05:27:10.437292
24,1,23,2025-09-29 05:27:10.589207,0.8199102436343892,0.9019012679978282,0.08199102436343893,0.0005463555055570366,0.8199102436343892,141680.49010002238,135777.13634585476,25.2,1.0,1.0,48,2025-09-29T05:27:10.480642,0.0031861633525041948,0.0015001633525041948,0.001686,0.0005000544508347315,0.00040004356066778525,0.0006000653410016778,551.3622275445907,528.2722651628584,1.0001089016694629,1.0,48,2025-09-29T05:27:10.521978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,48,2025-09-29T05:27:10.575310
25,2,0,2025-09-29 05:27:10.728193,0.839338058555437,0.9232718644109807,0.0839338058555437,0.0006411908501374583,0.839338058555437,147723.72412162155,0.0,27.0,1.0,1.0,50,2025-09-29T05:27:10.620662,0.003381089187403337,0.0016950891874033373,0.001686,0.0005650297291344457,0.0004520237833075566,0.0006780356749613349,575.7164711684408,0.0,1.1300594582688912,1.0,50,2025-09-29T05:27:10.662321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,50,2025-09-29T05:27:10.716601
26,2,1,2025-09-29 05:27:10.866405,0.839338058555437,0.9232718644109807,0.0839338058555437,0.0006411908501374583,0.839338058555437,153766.95814322072,6043.234021599146,27.0,1.0,1.0,52,2025-09-29T05:27:10.758406,0.003371797382226185,0.0016857973822261847,0.001686,0.0005619324607420616,0.0004495459685936493,0.0006743189528904739,600.012089050994,24.295617882553195,1.123864921484123,1.0,52,2025-09-29T05:27:10.800390,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,51,2025-09-29T05:27:10.852541
27,2,2,2025-09-29 05:27:11.006584,0.839338058555437,0.9232718644109807,0.0839338058555437,0.0006411908501374583,0.839338058555437,159810.1921648199,12086.468043198292,27.0,1.0,1.0,54,2025-09-29T05:27:10.896861,0.0033586343598456967,0.0016726343598456967,0.001686,0.0005575447866152322,0.0004460358292921858,0.0006690537439382787,624.2194920889403,48.503020920499594,1.1150895732304642,1.0,54,2025-09-29T05:27:10.938290,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,53,2025-09-29T05:27:10.992629
