ci_ppm,ac_rubisco_limited,aj_electron_transport_limited,anet_net_assimilation
50.0,0.2860938495223093,0.06427948863657412,0.0
54.77386934673367,0.4675095750432139,0.10297722240246937,0.0
59.54773869346734,0.6436747542536562,0.1391276855017949,0.0
64.321608040201,0.814814078147137,0.17297437426686296,0.0
69.09547738693468,0.9811395975068475,0.2047307086086956,0.0
73.86934673366834,1.1428515994372839,0.23458453667581208,0.0
78.643216080402,1.3001394119542324,0.2627018534438877,0.0
83.41708542713567,1.4531821434288967,0.28922988874535394,0.0
88.19095477386935,1.602149362958065,0.3142996860548693,0.0
92.96482412060301,1.7472017270939366,0.33802826738533154,0.0
97.73869346733667,1.8884915578034547,0.36052045977510133,0.0
102.51256281407035,2.026163376028177,0.3818704435147339,0.0
107.28643216080401,2.160354394773661,0.40216307034614923,0.0
112.06030150753767,2.2911949752649674,0.42147499054312443,0.0
116.83417085427135,2.418809049356,0.439875620437867,0.0
121.60804020100502,2.543314511069841,0.45742797613784775,0.0
126.38190954773869,2.664823579870232,0.47418939453678216,0.0
131.15577889447235,2.783443138017047,0.4902121590035598,0.0
135.92964824120602,2.8992750441374144,0.5055440441346619,0.0
140.7035175879397,3.0124164249460956,0.5202287915268333,0.0
145.47738693467335,3.122959946871137,0.5343065265497822,0.0
150.25125628140702,3.230994069181366,0.5478141244819894,0.0
155.0251256281407,3.3366032800689354,0.5607855330448062,0.0
159.79899497487435,3.439868317011132,0.5732520572747021,0.0
164.57286432160802,3.5408663726193446,0.5852426117663952,0.0
169.3467336683417,3.6396712870781944,0.5967839445653926,0.0
174.12060301507535,3.7363537281830523,0.6079008363590944,0.0
178.89447236180902,3.830981359898443,0.6186162780884977,0.0
183.6683417085427,3.9236190002822466,0.628951629659571,0.0
188.44221105527637,4.0143287695502785,0.6389267620598724,0.0
193.21608040201005,4.103170228991998,0.6485601848700655,0.0
197.9899497487437,4.190200511390155,0.657869160891944,0.0
202.76381909547737,4.275474443544476,0.6668698093864915,0.0
207.53768844221105,4.359044661451533,0.6755771992208495,0.0
212.3115577889447,4.440961718649246,0.6840054330565019,0.0
217.08542713567837,4.5212741881946625,0.6921677235680755,0.0
221.85929648241205,4.6000287587072295,0.7000764625592086,0.0
226.63316582914572,4.677270324876631,0.707743283735932,0.0
231.40703517587937,4.753042072803844,0.7151791198063628,0.0
236.18090452261305,4.827385560516278,0.7223942544961095,0.0
